Nº PROJETO;TÍTULO;EMPRESA PETROLÍFERA;DATA DE INÍCIO;DATA DE TÉRMINO;EMPRESA BRASILEIRA EXECUTORA;INSTITUIÇÃO CREDENCIADA EXECUTORA;AUTORIZAÇÃO;DATA DE PUBLICAÇÃO
10002-4;Bombeamento Multifásico Submarino;Petrobras;01/09/1992;26/04/2008;-;-;-;-
10003-2;Bombeamento Multifasico Submarino - SBMS-500;Petrobras;01/09/1992;30/12/2014;-;-;-;-
10004-0;UTILIZAÇÃO DE BOMBEIO CENTRÍFUGO SUBMARINO - BCS EM POÇOS SUBMARINOS;Petrobras;01/09/1992;01/12/1998;-;-;-;-
10005-7;SISTEMA DE SEPARAÇÃO SUBMARINA;Petrobras;01/09/1992;01/05/2004;-;-;-;-
10006-5;CLARIFICAÇÃO DE RESÍDUOS OLEOSOS;Petrobras;01/07/1993;01/05/1999;-;-;-;-
10007-3;EFICIÊNCIA DA INJEÇÃO DE ÁGUA;Petrobras;01/09/1993;01/12/1998;-;-;-;-
10008-1;CARACTERIZAÇÃO GEOLÓGICA AVANÇADA DE RESERVATÓRIO;Petrobras;01/09/1993;01/12/1998;-;-;-;-
10009-9;RECUPERAÇÃO DE ÓLEOS PESADOS;Petrobras;01/09/1993;01/12/1998;-;-;-;-
10010-7;RECUPERAÇÃO DE PETRÓLEO EM CARBONATOS DE BAIXA PERMEABILIDADE;Petrobras;01/09/1993;01/12/1998;-;-;-;-
10011-5;ASFALTO MODIFICADO POR POLÍMEROS;Petrobras;01/10/1993;01/12/1998;-;-;-;-
10012-3;AVALIAÇÃO EM SERVIÇO DO CAP20 MARLIM-REVAP NA BANDEIRANTES;Petrobras;01/03/1994;01/12/2000;-;-;-;-
10013-1;OTIMIZAÇÃO DOS PROCESSOS FÍSICO-QUÍMICO DE TRATAMENTO DE ÁGUAS OLEOSAS;Petrobras;01/05/1994;01/12/1998;-;-;-;-
10014-9;BIODESSULFURIZAÇÃO DE PETRÓLEO RESÍDUOS E DERIVADOS;Petrobras;01/07/1994;01/12/1998;-;-;-;-
10015-6;OTIMIZAÇÃO DE CATALISADORES DE HIDROCONVERSÃO;Petrobras;01/07/1994;01/12/1999;-;-;-;-
10016-4;PLUGUEAMENTO SELETIVO POR MICROORGANISMOS;Petrobras;01/08/1994;01/04/1999;-;-;-;-
10017-2;OTIMIZAÇÃO DE CICLONES;Petrobras;01/08/1994;01/08/1996;-;-;-;-
10018-0;CATALISADORES PARA FCC DE RESÍDUO;Petrobras;01/09/1994;01/08/1999;-;-;-;-
10019-8;RECUPERAÇÃO DE HIDROGÊNIO DAS CORRENTES DE REFINARIA COM BAIXA CONCENTRAÇÃO;Petrobras;01/09/1994;01/12/1998;-;-;-;-
10020-6;OTIMIZAÇÃO  DO TRATAMENTO DE INCRUSTAÇÕES NOS SISTEMAS DE PRODUÇÃO;Petrobras;01/10/1994;01/12/1998;-;-;-;-
10021-4;DESENVOLVIMENTO DE CATALISADORES;Petrobras;01/01/1995;01/12/1998;-;-;-;-
10022-2;HIDROPIRÓLISE PARA CONVERSÃO DE RESÍDUOS;Petrobras;01/02/1995;01/12/1998;-;-;-;-
10023-0;MONTAGEM DA UNIDADE PILOTO DE HIDROGENAÇÃO HC-5;Petrobras;01/04/1995;01/12/1998;-;-;-;-
10024-8;DESENVOLVIMENTO PROCESSOS DE ALQUILAÇÃO COM CATALISADORES SÓLIDOS;Petrobras;01/04/1995;01/12/1998;-;-;-;-
10025-5;AVALIAÇÃO DE DANOS EM LINHAS FLEXÍVEIS;Petrobras;01/05/1995;01/12/1998;-;-;-;-
10026-3;OTIMIZAÇÃO DO PROCESSAMENTO PRIMÁRIO OFFSHORE;Petrobras;01/07/1995;01/01/1999;-;-;-;-
10027-1;QUALIDADE DE QAV-1 COM RELAÇÃO A LUBRICIDADE;Petrobras;01/07/1995;01/04/2000;-;-;-;-
10028-9;BIODESNITROGENAÇÃO DE COMBUSTÍVEIS FÓSSEIS;Petrobras;01/10/1995;01/12/1998;-;-;-;-
10029-7;GASEIFICAÇÃO CATALÍTICA DE RASF;Petrobras;01/11/1995;01/09/1999;-;-;-;-
10030-5;GEOFÍSICA APLICADA AO DESENVOVIMENTO DO CAMPO DE FAZENDA ALVORADA;Petrobras;01/01/1996;01/04/2000;-;-;-;-
10031-3;APERFEIÇOAMENTO DE RISER DE FCC;Petrobras;01/01/1996;01/07/2002;-;-;-;-
10032-1;INSTALAÇÃO DE UM PROTÓTIPO DO PACKINOX NA REGAP;Petrobras;01/01/1996;01/04/1999;-;-;-;-
10033-9;SOLIDIFICAÇÃO DE FLUIDO DE PERFURAÇÃO COM ESCORIA;Petrobras;01/03/1996;01/11/1998;-;-;-;-
10034-7;DETERMINAÇÃO DE ATRITO EM CATALISADORES DE FCC;Petrobras;01/03/1996;01/11/1998;-;-;-;-
10035-4;ESTACA TIPO TORPEDO PARA FIXAÇÃO COM SISTEMA DE ANCORAGEM;Petrobras;01/03/1996;01/01/2000;-;-;-;-
10036-2;ASSISTÊNCIA TÉCNICA A CONVERSÃO DO HENRIQUE DIAS;Petrobras;01/03/1996;01/11/1998;-;-;-;-
10037-0;DESENVOLVIMENTO  DO ÓLEO ISOLANTE NAFTÊNICO NACIONAL;Petrobras;01/05/1996;01/12/1998;-;-;-;-
10038-8;MODELAGEM DE AQUIFEROS CONTAMINADOS POR DERIVADOS;Petrobras;01/06/1996;01/04/1999;-;-;-;-
10039-6;ASSISTÊNCIA TÉCNICA AO  PROJETO EXECUTIVO JOSÉ BONIFÁCIO;Petrobras;01/06/1996;01/07/1999;-;-;-;-
10040-4;CARACTERIZAÇÃO AVANÇADA DE CARGAS PESADAS P/FCC;Petrobras;01/07/1996;01/08/2000;-;-;-;-
10041-2;FERROGRAFIA NOS COMPRESSORES TC-A E TC-B DA P-07;Petrobras;01/07/1996;01/11/1998;-;-;-;-
10042-0;CREDENCIAMENTO DO LEV PARA ENSAIOS DE EMISSÕES;Petrobras;01/07/1996;01/12/1999;-;-;-;-
10043-8;ZEÓLITAS COM MAIOR ACESSIBILIDADE;Petrobras;01/07/1996;01/12/1998;-;-;-;-
10044-6;ASSISTÊNCIA TÉCNICA AO PROJETO  EXECUTIVO, CONSTRUÇÃO, MONTAGEM, INSTALAÇÃO E  PRÉ-OPERAÇÃO DA P-27;Petrobras;01/07/1996;01/11/1998;-;-;-;-
10045-3;ZEÓLITO PARA CATALISADORES DE RESÍDUO;Petrobras;01/08/1996;01/01/2000;-;-;-;-
10046-1;TOMOGRAFIA SÍSMICA POÇO-A- POÇO;Petrobras;01/09/1996;01/01/2000;-;-;-;-
10047-9;CREDENCIAMENTO DE ENSAIOS DE EMISSÕES EM MOTORES;Petrobras;01/09/1996;01/12/2000;-;-;-;-
10048-7;SISTEMA DE ANCORAGEM EM CATENÁRIA PARA 3000 M LDA;Petrobras;01/09/1996;01/04/2000;-;-;-;-
10049-5;PERFURAÇÃO COM FLUIDOS LEVES E/OU SUB-BALANCEADA;Petrobras;01/10/1996;01/06/2001;-;-;-;-
10050-3;IMPLANTAÇÃO DE MULTIMÍDIA NA DIPREX;Petrobras;01/10/1996;01/12/1998;-;-;-;-
10051-1;REVISÃO PALINOESTRATIGRÁFICA DO DEVONIANO MÉDIO;Petrobras;01/11/1996;01/04/2008;-;-;-;-
10052-9;SISTEMA DE APOIO A OPERAÇÕES DE ANCORAGEM;Petrobras;01/11/1996;01/12/2000;-;-;-;-
10053-7;SISTEMA DE ANCORAGEM TAUT-LEG;Petrobras;01/11/1996;01/09/2000;-;-;-;-
10054-5;PREDIÇÃO QUALIDADE RESERVATÓRIOS SILICICLÁSTICOS;Petrobras;01/11/1996;01/12/1998;-;-;-;-
10055-2;INJEÇÃO ALTERNADA DE ÁGUA E GÁS EM RESERVATÓRIOS HETEROGÊNEOS;Petrobras;01/11/1996;01/05/1999;-;-;-;-
10056-0;INJEÇÃO DE BANCO POLÍMEROS COM GRADAÇÃO DE CONCENTRAÇÃO.;Petrobras;01/11/1996;01/09/1999;-;-;-;-
10057-8;ÓLEO DIESEL, AS EMISSÕES E O CONAMA-IV;Petrobras;01/11/1996;01/04/2001;-;-;-;-
10058-6;ASSISTÊNCIA TÉCNICA A ADAPTAÇÃO DA P-X;Petrobras;01/11/1996;01/11/1998;-;-;-;-
10059-4;GIS -  AMAZÔNIA;Petrobras;01/12/1996;01/12/1999;-;-;-;-
10060-2;CONTROLE TECTÔNICO DOS TRENDS PETROLÍFEROS;Petrobras;01/12/1996;01/12/2000;-;-;-;-
10061-0;ESTUDOS PREDIÇÃO PRE-SAL DA BACIA DE CAMPOS;Petrobras;01/12/1996;01/05/1999;-;-;-;-
10062-8;ÓLEOS PESADOS: OCORRÊNCIA, CONTROLE E PREDIÇÃO.;Petrobras;01/12/1996;01/04/1999;-;-;-;-
10063-6;INTEGRIDADE ESTRUTURAL DE EQUIPAMENTOS;Petrobras;01/12/1996;01/12/1998;-;-;-;-
10064-4;TESTE COM BUTANO UNIDADE PROTÓTIPO DESASFALTAÇÃO SIX;Petrobras;01/12/1996;01/12/1998;-;-;-;-
10065-1;FLUIDOS PARA POÇOS EM LDA PROFUNDA-AMBIENTE HP/HT;Petrobras;01/01/1997;01/07/1999;-;-;-;-
10066-9;CONTROLE DE PRODUÇÃO DE AREIA EM POÇOS ERW;Petrobras;01/01/1997;01/12/1998;-;-;-;-
10067-7;OTIMIZAÇÃO DA LIMPEZA;Petrobras;01/01/1997;01/01/1999;-;-;-;-
10068-5;SISTEMA AUTOM ANÁLISE DE INTEGRIDADE ESTRUTURAL;Petrobras;01/01/1997;01/05/1999;-;-;-;-
10069-3;EMPREGO CAMPO MAGNÉTICO INIB DEPOS PARAFINAS;Petrobras;01/01/1997;01/01/1999;-;-;-;-
10070-1;FERROGRAFIA NOS COMPRESSORES DA ESTAÇÃO DE MIRANGA;Petrobras;01/01/1997;01/07/1999;-;-;-;-
10071-9;PASSIVADORES DE METAIS;Petrobras;01/01/1997;01/11/1998;-;-;-;-
10072-7;MODELAGEM QUALITATIVA TRIDIMENSIONAL FLUXO FLUIDOS;Petrobras;01/02/1997;01/12/1999;-;-;-;-
10073-5;GEOMETRIA E HETEROGENEIDADE DE ARENITOS TURBIDÍTICOS EM  AFLORAMENTO NA BACIA DE ITAJAÍ.;Petrobras;01/02/1997;01/07/1999;-;-;-;-
10074-3;LUBRICIDADE DO ÓLEO DIESEL;Petrobras;01/02/1997;01/12/1998;-;-;-;-
10075-0;DESENVOLVIMENTO EMULSÕES COMBUSTÍVEIS A PARTIR DE RASF;Petrobras;01/02/1997;01/12/2000;-;-;-;-
10076-8;SÍSMICA MULTICOMPONENTE PARA RESERVATÓRIOS;Petrobras;01/03/1997;01/05/2000;-;-;-;-
10077-6;PERFURAÇÃO COM JATO ABRASIVO EM ÁGUA PROFUNDA  E ULTRAPROFUNDA;Petrobras;01/03/1997;01/12/1998;-;-;-;-
10078-4;MECANISMO DE DETONAÇÃO DE RASTEJAMENTO DE TALUDES;Petrobras;01/03/1997;01/01/1999;-;-;-;-
10079-2;INTEGRAÇÃO ARCABOUÇO DE CICLOS DE SEDIMENTAÇÃO E PALINOESTRATIGRÁFICAS CARBONÍFERA E PERMIANA;Petrobras;01/04/1997;01/12/1999;-;-;-;-
10080-0;ASSISTÊNCIA AO PROJETO  EXECUTIVO, CONSTRUÇÃO E MONTAGEM DA P-36 RONCADOR;Petrobras;01/04/1997;01/05/2000;-;-;-;-
10081-8;ASFALTENOS E PROPRIEDADES FISICOQUÍMICAS;Petrobras;01/06/1997;01/11/1998;-;-;-;-
10082-6;ORGANIZAÇÃO E ENSAIOS LABORATORIAIS DE ACORDO NORMA ISO GUIDE 25;Petrobras;01/06/1997;01/12/1998;-;-;-;-
10083-4;SISTEMA ESPECIALISTA PARA INJEÇÃO DE ÁGUA;Petrobras;01/07/1997;01/11/1999;-;-;-;-
10084-2;INFLUÊNCIA DO ÓLEO DIESEL NA FORMAÇÃO DE FUMAÇA EM VEÍCULOS;Petrobras;01/07/1997;01/12/1998;-;-;-;-
10085-9;PROJETO BÁSICO DO SISTEMA DEFINITIVO DE BARRACUDA E CARATINGA - FASE1.;Petrobras;01/07/1997;01/12/1998;-;-;-;-
10086-7;LABORATÓRIO HIPERBÁRICO PARA 3000M DE LÂMINA D'ÁGUA;Petrobras;01/08/1997;01/12/2003;-;-;-;-
10087-5;DIMENSIONAMENTO DE DUTOS SUBMARINOS PARA ÁGUAS PROFUNDAS - CRITERIO LIM1;Petrobras;01/08/1997;01/07/1999;-;-;-;-
10088-3;DESENVOLVIMENTO DE PROCESSO DE SOPRAGEM DE ASFALTO;Petrobras;01/08/1997;01/09/1999;-;-;-;-
10089-1;OTIMIZAÇÃO DO PREPARO DE FCC PARA ACESSIBILIDADE;Petrobras;01/08/1997;01/04/2000;-;-;-;-
10090-9;USO DE ZEÓLITAS SUBMICRA EM CATALISADORES DE FCC;Petrobras;01/08/1997;01/11/1999;-;-;-;-
10091-7;ÁRVORE DE NATAL MOLHADA PARA 2500M LDA;Petrobras;01/08/1997;01/08/1999;-;-;-;-
10092-5;"PROJETO DE PIGS MULTISIZE 4""X6"" E 2 1/2""X4""";Petrobras;01/08/1997;01/07/1999;-;-;-;-
10093-3;ESTABILIDADE TÉRMICA DO ÓLEO DIESEL;Petrobras;01/09/1997;01/04/2000;-;-;-;-
10094-1;SISTEMA DE EXPLOTAÇÃO DA BACIA DE SANTOS;Petrobras;01/09/1997;01/11/1998;-;-;-;-
10095-8;ASSISTÊNCIA TÉCNICA, FABRICAÇÃO E  INSTALAÇÃO DE MANIFOLD MARIMBA.;Petrobras;01/09/1997;01/12/1999;-;-;-;-
10096-6;ASSISTÊNCIA TÉCNICA P-40 MOD I CAMPO MARLIM SUL;Petrobras;01/09/1997;01/02/2001;-;-;-;-
10097-4;ASSISTÊNCIA TÉCNICA AO FPSO P-37;Petrobras;01/09/1997;01/09/2000;-;-;-;-
10098-2;REFINAMENTO BIOESTRATIGRÁFICO E ESTRUTURA QUÍMICA DO MAASTRICHTIANO DA BACIA DE CAMPOS;Petrobras;01/10/1997;01/12/1999;-;-;-;-
10099-0;GARANTIA DE ESCOAMENTO 2;Petrobras;01/10/1997;01/04/2001;-;-;-;-
10100-6;OTIMIZAÇÃO DOS SISTEMAS DE TRATAMENTO DE ÁGUAS OLEOSAS;Petrobras;01/10/1997;01/11/1999;-;-;-;-
10101-4;ESTUDO DA ROTA MHCTB;Petrobras;01/10/1997;01/11/1998;-;-;-;-
10102-2;BIORREMEDIAÇÃO TRATAMENTO DE DERRAMES DE ÓLEO;Petrobras;01/10/1997;01/12/1998;-;-;-;-
10103-0;ANTEPROJETO DE UNIDADE DE COQUE DE RASF;Petrobras;01/10/1997;01/11/1998;-;-;-;-
10104-8;BIOCORROSÃO;Petrobras;01/11/1997;01/03/2005;-;-;-;-
10105-5;MECANISMOS DE PIRÓLISE DE ASFALTENOS;Petrobras;01/11/1997;01/08/2000;-;-;-;-
10106-3;ROTAS PARA O APROVEITAMENTO DO CGN;Petrobras;01/12/1997;01/12/1998;-;-;-;-
10107-1;PRODUÇÃO BIOSURFACTANTES IND. PETRÓLEO;Petrobras;01/12/1997;01/03/1999;-;-;-;-
10108-9;MONITORAMENTO AMBIENTAL DO MANGUEZAL ADJACENTE A REDUC;Petrobras;01/12/1997;01/01/2000;-;-;-;-
10109-7;HOMOLOGAÇÃO DE LINHAS FLEXÍVEIS;Petrobras;01/12/1997;01/07/1999;-;-;-;-
10110-5;INTERAÇÃO DE LINHAS COM O SOLO;Petrobras;01/12/1997;01/04/1999;-;-;-;-
10111-3;CONVERSÃO P-13 OPERAR LDA´S 1500 E 2500M SIST DP;Petrobras;01/12/1997;01/12/1998;-;-;-;-
10112-1;ANÁLISE DE VIBRAÇÃO DA COLUNA DE PERFURAÇÃO;Petrobras;01/01/1998;01/12/1999;-;-;-;-
10113-9;CONTENÇÃO DA PRODUÇÃO DE AREIA NOS CAMPOS DE CORVINA, MALHADO, E BIJUPIRÁ/SALEMA;Petrobras;01/01/1998;01/10/2000;-;-;-;-
10114-7;UNIDADE PILOTO PARA SIMULAÇÃO UNIDADE INDUSTRIAL;Petrobras;01/01/1998;01/06/2000;-;-;-;-
10115-4;DETERMINAR FATORES DETERIORAÇÃO NAS EMISSÕES MOTORES DIESEL;Petrobras;01/01/1998;01/03/2001;-;-;-;-
10116-2;AVALIAÇÃO DA COMPRESSÃO AXIAL EM TUBOS FLEXÍVEIS;Petrobras;01/01/1998;01/10/2000;-;-;-;-
10117-0;UNIDADE DE MTBE DA REFAP;Petrobras;01/01/1998;01/03/1999;-;-;-;-
10118-8;AVALIAÇÃO DE PROPRIEDADES FÍSICAS DE ÓLEOS PESADOS;Petrobras;01/02/1998;01/06/1999;-;-;-;-
10119-6;RESSONÂNCIA MAGNÉTICA APLICADA A RESERVATÓRIOS;Petrobras;01/02/1998;01/04/1999;-;-;-;-
10120-4;ESTUDO DE CONFIGURAÇÕES PARA SCR EM FPSO;Petrobras;01/02/1998;01/07/2000;-;-;-;-
10121-2;UNIDADE DE TRATAMENTO ÁCIDO DE GASÓLEO PESADO;Petrobras;01/02/1998;01/02/2000;-;-;-;-
10122-0;SISTEMAS AVANÇADOS DE PROGRAMAÇÃO DE DUTOS-ETAPA I;Petrobras;01/02/1998;01/12/1998;-;-;-;-
10123-8;FERRAMENTAS DE INTEGRAÇÃO/CONFIGURAÇÃO/PORTABILIDADE DO SSC;Petrobras;01/02/1998;01/09/1999;-;-;-;-
10124-6;AVALIAÇÃO ESTRUTURAL DE DUTOS COM  DEFEITOS LONGOS;Petrobras;01/02/1998;01/10/2000;-;-;-;-
10125-3;MONITORAMENTO AMBIENTAL BACIA DE CAMPOS/CABIUNAS FASE2;Petrobras;01/02/1998;01/05/2000;-;-;-;-
10126-1;SISTEMAS PETROLÍFEROS DA BACIA DO CEARÁ;Petrobras;01/03/1998;01/12/1999;-;-;-;-
10127-9;SISTEMAS PETROLÍFEROS DA BACIA POTIGUAR SUBMERSA;Petrobras;01/03/1998;01/08/1999;-;-;-;-
10128-7;SISTEMAS PETROLÍFEROS DA PORÇÃO SUDOESTE DO RIFT POTIGUAR;Petrobras;01/03/1998;01/08/1999;-;-;-;-
10129-5;SOLIDIFICAÇÃO DE DIQUES POR ADIÇÃO DE ESCÓRIA;Petrobras;01/03/1998;01/08/1999;-;-;-;-
10130-3;OBTENÇÃO DE PADRÕES PARA INTERPRETAÇÃO DOS PERFIS FRENTE A  CIMENTAÇÕES;Petrobras;01/03/1998;01/12/1998;-;-;-;-
10131-1;OTIMIZAÇÃO DE OPERAÇÕES DE SQUEEZE;Petrobras;01/03/1998;01/04/1999;-;-;-;-
10132-9;MATERIAIS ALTERNATIVOS PARA CIMENTAÇÃO;Petrobras;01/03/1998;01/02/2001;-;-;-;-
10133-7;CARACTERIZAÇÃO DOS FLUIDOS DE MARLIM-SUL, RONCADOR;Petrobras;01/03/1998;01/08/1999;-;-;-;-
10134-5;SOLDAGEM SUBMARINA DE DUTOS;Petrobras;01/03/1998;01/09/2000;-;-;-;-
10135-2;COLAPSO PROPAGANTE DE DUTOS SUBMARINOS D/T=8A16;Petrobras;01/03/1998;01/12/1998;-;-;-;-
10136-0;ANÁLISE DE DUTOS REPARADOS POR COMPÓSITO;Petrobras;01/03/1998;01/04/1999;-;-;-;-
10137-8;ASSISTÊNCIA TÉCNICA AO PROJETO EXECUTIVO DA P-45;Petrobras;01/03/1998;01/11/1999;-;-;-;-
10138-6;MONITORAÇÃO DE UNIDADE DE PRODUÇÃO FPSO II;Petrobras;01/03/1998;01/04/1999;-;-;-;-
10139-4;CONCEPÇÃO DE RISERS COM BÓIA DE SUB-SUPERFÍCIE;Petrobras;01/03/1998;01/07/1999;-;-;-;-
10140-2;OTIMIZAÇÃO DE ETDIS PARA REMOÇÃO DE NITROGENADOS;Petrobras;01/03/1998;01/05/2000;-;-;-;-
10141-0;ESCOAMENTO DE ÓLEOS PESADOS;Petrobras;01/03/1998;01/05/2001;-;-;-;-
10142-8;ESTABILIDADE DE POÇOS EM FM COM PEQUENA ESPESSURA;Petrobras;01/04/1998;01/07/1999;-;-;-;-
10143-6;AVALIAÇÃO SISTEMAS DETECÇÃO DE VAZAMENTOS EM DUTOS;Petrobras;01/04/1998;01/04/2001;-;-;-;-
10144-4;MINIMIZAÇÃO DO VOLUME DE INTERFACES;Petrobras;01/04/1998;01/04/2001;-;-;-;-
10145-1;TÉCNICAS DE MONITORAÇÃO PARA CORROSÃO INTERNA DE DUTOS;Petrobras;01/04/1998;01/04/2000;-;-;-;-
10146-9;PIG INSTRUMENTADO INSPEÇÃO CORROSÃO LINHAS ESPECIAIS;Petrobras;01/04/1998;01/12/2000;-;-;-;-
10147-7;CAPACITAÇÃO EM PIG'S INSTRUMENTADOS;Petrobras;01/04/1998;01/08/2000;-;-;-;-
10148-5;PIG PARA DETECÇÃO DE VAZAMENTO;Petrobras;01/04/1998;01/12/2001;-;-;-;-
10149-3;PROCESSOS QUÍMICOS DE CONTROLE DE PRODUÇÃO DE ÁGUA;Petrobras;01/04/1998;01/07/1999;-;-;-;-
10150-1;MODELAGEM DO HCC DE GOP HIDROT.DE PETRÓLEO MARLIM;Petrobras;01/04/1998;01/12/1998;-;-;-;-
10151-9;ESTADO DA ARTE DOS MATERIAIS NÃO-METÁLICOS PARA DUTOS;Petrobras;01/04/1998;01/10/1999;-;-;-;-
10152-7;MODERNIZAÇÃO DA UNIDADE U-11/RLAM;Petrobras;01/04/1998;01/11/1998;-;-;-;-
10153-5;SISTEMAS HPHT: IMPLICAÇÕES EXPLORATÓRIAS;Petrobras;01/05/1998;01/12/1999;-;-;-;-
10154-3;RESERVATÓRIOS DE GÁS COM BAIXÍSSIMA PERMEABILIDADE;Petrobras;01/05/1998;01/09/2000;-;-;-;-
10155-0;INTEGRAÇÃO  APLICATIVOS CENPES AO SISTEMA ADIP/SAD;Petrobras;01/05/1998;01/12/1999;-;-;-;-
10156-8;AVALIAÇÃO DE COLAPSO DE POROS NO CAMPO CONGRO;Petrobras;01/05/1998;01/11/1999;-;-;-;-
10157-6;INJEÇÃO DE PRODUTOS QUÍMICOS EM POÇO ATRAVÉS DA LINHA DE GÁS-LIFT;Petrobras;01/05/1998;01/12/1999;-;-;-;-
10158-4;AVALIAÇÃO DA CORROSIVIDADE DE DERIVADOS/INIBIDORES;Petrobras;01/05/1998;01/05/2000;-;-;-;-
10159-2;AVALIAÇÃO DA CORROSIVIDADE DE PETRÓLEOS NACIONAIS;Petrobras;01/05/1998;01/09/2000;-;-;-;-
10160-0;DIAGNÓSTICO E CONTROLE DA CORROSÃO EM ÁREA FRIA E DEA.;Petrobras;01/05/1998;01/04/2000;-;-;-;-
10161-8;INTEGRAÇÃO DE PROGRAMAS PARA ESTUDO DE RESERVATÓRIOS;Petrobras;01/05/1998;01/11/1998;-;-;-;-
10162-6;ESTUDOS PRELIMINARES DA UNIDADE PILOTO DE DOWNER;Petrobras;01/05/1998;01/07/2000;-;-;-;-
10163-4;UTILIZAÇÃO DE ADITIVOS MELHORADORES DE FLUXO;Petrobras;01/05/1998;01/12/2000;-;-;-;-
10164-2;INFRAVERMELHO PRÓXIMO PARA PROPRIEDADES DE DIESEL;Petrobras;01/05/1998;01/08/1999;-;-;-;-
10165-9;ANÁLISE METODOLÓGICA PARA IMPLANTAÇÃO  DO MODIG E MOD. AUX;Petrobras;01/05/1998;01/08/1999;-;-;-;-
10166-7;AMPLIAÇÃO DA CAPACIDADE  DE PROC. UFCC DA REGAP(U-03);Petrobras;01/05/1998;01/02/1999;-;-;-;-
10167-5;AMPLIAÇÃO DA UFCC DA REVAP (U-220) - CONVERSÃO.;Petrobras;01/05/1998;01/04/2002;-;-;-;-
10168-3;DESENVOLVIMENTO DE MÓDULO DE PARTIDA ASSISTIDA P19;Petrobras;01/05/1998;01/12/1998;-;-;-;-
10169-1;SEDIMENTAÇÃO X HALOCINESE EM DEPÓSITO TURBIDÍTICO;Petrobras;01/06/1998;01/11/1999;-;-;-;-
10170-9;METODOLOGIA DE TESTES PARA AVALIAÇÃO DA  INTERAÇÃO  ROCHA/FLUIDO;Petrobras;01/06/1998;01/05/2000;-;-;-;-
10171-7;DIEKSAND EXTENDED REACH WELLS, MITTELPLATE FIELD;Petrobras;01/06/1998;01/02/1999;-;-;-;-
10172-5;SISTEMA DE DETECÇÃO DE VAZAMENTOS EM POLIDUTOS;Petrobras;01/06/1998;01/09/2001;-;-;-;-
10173-3;AVALIAÇÃO DA CORROSIVIDADE DE ÓLEOS EM DUTOS;Petrobras;01/06/1998;01/12/2000;-;-;-;-
10174-1;MODELAGEM FÍSICA DO ESCOAMENTO DE ÓLEO PESADO MEIO POROSO;Petrobras;01/06/1998;01/12/2000;-;-;-;-
10175-8;RESERVATÓRIO DE ÓLEO LEVE/ÁGUA DE BAIXA SALINIDADE;Petrobras;01/06/1998;01/10/1999;-;-;-;-
10176-6;INVERSÃO SÍSMICA NA CARACTERIZAÇÃO DE RESERVATÓRIO;Petrobras;01/06/1998;01/06/1999;-;-;-;-
10177-4;TRATAMENTO ÁCIDO DE AGUARRAS;Petrobras;01/06/1998;01/12/1999;-;-;-;-
10178-2;DIESEL DE BAIXA EMISSÃO;Petrobras;01/06/1998;01/08/2000;-;-;-;-
10179-0;PARÂMETROS VISCOELÁSTICOS FLUIDOS A BASE DE ÁGUA;Petrobras;01/07/1998;01/12/1999;-;-;-;-
10180-8;MODELAGEM DE INJETIVIDADE  DE ÁGUA  EM ROCHAS;Petrobras;01/07/1998;01/04/2001;-;-;-;-
10181-6;AVALIAÇÃO  DA PERFORMANCE DE POÇOS HORIZONTAIS;Petrobras;01/07/1998;01/06/1999;-;-;-;-
10182-4;REPARO DE DUTOS A BASE DE MATERIAIS COMPÓSITOS;Petrobras;01/07/1998;01/08/2002;-;-;-;-
10183-2;REVESTIMENTO INTERNO DE DUTOS;Petrobras;01/07/1998;01/08/1999;-;-;-;-
10184-0;SISTEMA SUBMARINO DE AQUISIÇÃO DE DADOS;Petrobras;01/07/1998;01/10/2000;-;-;-;-
10185-7;RISER RÍGIDO EM CATENÁRIA;Petrobras;01/07/1998;01/12/2001;-;-;-;-
10186-5;AMPLIAÇÃO UFCC REGAP (U-03) - SEÇÃO FRACIONAMENTO;Petrobras;01/07/1998;01/02/1999;-;-;-;-
10187-3;AMP. PROCESSAMENTO DA UNIDADE DE FRACIONAMENTO - REVAP;Petrobras;01/07/1998;01/07/1999;-;-;-;-
10188-1;PROCEDIMENTOS DE TESTE HIDROSTÁTICO PARA DUTOS;Petrobras;01/08/1998;01/09/1999;-;-;-;-
10189-9;INSPEÇÃO DE SOLDAS PLATAFORMAS MARÍTIMAS COM TÉCNICA ACFM;Petrobras;01/08/1998;01/07/1999;-;-;-;-
10190-7;VIABILIDADE TÉCNICA NO LEVANTAMENTO SÍSMICO 4D RES. ÁGUAS PROFUNDAS;Petrobras;01/08/1998;01/08/1999;-;-;-;-
10191-5;REFINAMENTO ESTRATIGRÁFICO-FACIOLÓGICO RESERV. ALBACORA;Petrobras;01/08/1998;01/03/2000;-;-;-;-
10192-3;INJEÇÃO DE GASES (AR/N2) EM CANTO DO AMARO;Petrobras;01/08/1998;01/10/1999;-;-;-;-
10193-1;IMPLEMENTAÇÕES NO SIRPD3;Petrobras;01/08/1998;01/05/1999;-;-;-;-
10194-9;ADIÇÃO DE ANTIOXIDANTE AO FURFURAL;Petrobras;01/08/1998;01/12/1998;-;-;-;-
10195-6;CATALISADORES COM MAIOR FUNÇÃO HIDROGENANTE PARA HDT;Petrobras;01/08/1998;01/07/2001;-;-;-;-
