CodProj;Ano Carregamento;Recursos Humanos;Viagens e Diárias;Outras despesas;Material de Consumo;Material Permanente;Serviço de Terceiros;Custo Total Previsto
PD-00026-0002;2010;;$71.529,00;$18.105,00;;;;$89.634,00
PD-00026-0111;2017;$97.200,00;$50.000,00;;$3.200,00;$151.850,00;$16.000,00;$318.250,00
PD-00026-0113;2013;$473.400,00;$30.000,00;$94.536,00;$33.600,00;$60.000,00;$158.800,00;$850.336,00
PD-00026-0116;2016;$1.550.400,00;$113.620,00;$199.362,00;$175.000,00;$133.500,00;$135.000,00;$2.306.882,00
PD-00026-0211;2011;$679.340,00;$32.500,00;;;;$22.000,00;$733.840,00
PD-00026-0411;2011;$249.330,00;$20.040,00;$21.212,10;$43.968,00;;$110.904,00;$445.454,10
PD-00026-1913;2019;$3.901.032,00;$677.304,00;$2.795.804,50;$30.600,00;$6.125.201,00;$849.320,00;$14.379.261,50
PD-00031-0001;2015;$585.000,00;$22.000,00;;$2.000,00;$32.000,00;$68.500,00;$709.500,00
PD-00031-0002;2015;$604.800,00;$26.300,00;;$5.000,00;$12.800,00;$97.450,00;$746.350,00
PD-00031-0003;2015;$244.800,00;$15.400,00;;$23.000,00;$15.000,00;$61.110,00;$359.310,00
PD-00031-0004;2015;$257.220,00;$10.000,00;;$25.000,00;;$71.022,00;$363.242,00
PD-00031-0005;2018;$1.565.208,00;$203.080,00;;$16.676,00;$465.316,16;$249.719,92;$2.500.000,08
PD-00032-0001;2011;$983.425,00;$21.000,00;;;;;$1.004.425,00
PD-00032-0002;2012;$965.400,00;$119.400,00;$225.125,00;$12.000,00;$66.000,00;$845.000,00;$2.232.925,00
PD-00032-1509;2015;$1.287.856,00;$72.300,00;$63.200,00;;;;$1.423.356,00
PD-00032-1510;2015;$4.886.138,00;$200.000,00;$244.554,96;;$402.000,00;$500.000,00;$6.232.692,96
PD-00032-1513;2015;$1.953.340,00;$145.000,00;$1.143.360,00;;$180.000,00;$300.000,00;$3.721.700,00
PD-00032-1704;2017;$2.011.200,00;$121.108,00;$200.784,56;;$1.350.810,00;;$3.683.902,56
PD-00037-0001;2009;$498.584,40;$2.400,00;$41.541,81;;$244.800,00;$10.000,00;$797.326,21
PD-00037-0002;2009;$254.184,00;$27.401,71;$35.608,62;$9.048,00;$37.980,00;$36.000,00;$400.222,33
PD-00037-0003;2009;$233.324,64;$15.861,81;$28.174,28;$3.512,00;$32.725,00;$11.000,00;$324.597,73
PD-00037-0004;2009;$506.492,40;$26.525,33;$33.495,54;$5.200,00;$85.000,00;$40.000,00;$696.713,27
PD-00037-0005;2010;$697.713,92;$65.063,29;$81.032,86;$3.000,00;$7.500,00;;$854.310,07
PD-00037-0006;2010;$916.099,52;$35.474,29;$2.167,04;$920,00;;;$954.660,85
PD-00037-0009;2010;$589.249,76;$29.756,97;$9.784,56;;$39.829,02;;$668.620,31
PD-00037-0010;2010;$196.349,76;$22.179,14;$65.208,86;$12.730,00;$51.230,00;$196.043,68;$543.741,44
PD-00037-0011;2010;$878.759,60;$19.256,97;$11.352,45;;$60.980,00;$41.500,00;$1.011.849,02
PD-00037-0012;2010;$202.627,20;$33.150,00;$58.642,91;$5.800,00;$94.338,25;$84.368,40;$478.926,76
PD-00037-0013;2010;$309.073,68;$20.779,14;$62.755,87;$13.320,00;$82.646,67;$109.000,00;$597.575,36
PD-00037-0014;2011;$573.853,58;$100.360,06;$32.000,00;$2.400,00;$114.450,00;$60.000,00;$883.063,64
PD-00037-0015;2012;$385.027,20;$22.480,00;$76.164,80;$7.200,00;$191.800,00;$142.056,00;$824.728,00
PD-00037-0017;2012;$2.005.757,00;$120.620,00;$249.836,11;$23.000,00;$570.140,00;$313.298,00;$3.282.651,11
PD-00037-0018;2012;$1.060.800,00;$116.680,00;$115.213,00;$57.000,00;$368.000,00;$191.500,00;$1.909.193,00
PD-00037-0019;2014;$1.226.160,00;$111.000,00;$7.000,00;;$85.000,00;$124.000,00;$1.553.160,00
PD-00037-0020;2014;$585.600,00;$208.133,60;$82.256,68;$62.000,00;$1.386.448,73;$312.000,00;$2.636.439,01
PD-00037-0021;2014;$1.007.042,00;$95.000,00;$59.600,00;$7.200,00;$1.927.120,00;$252.000,00;$3.347.962,00
PD-00037-0022;2014;$635.940,00;$44.100,00;$196.084,90;$37.500,00;$1.051.750,00;$268.000,00;$2.233.374,90
PD-00037-0024;2016;$1.037.182,40;$144.100,00;$538.472,24;$243.000,00;$664.000,00;$462.500,00;$3.089.254,64
PD-00037-0025;2016;$1.323.680,00;$103.000,00;$106.674,20;;$405.000,00;$172.000,00;$2.110.354,20
PD-00037-0026;2016;$869.700,00;$88.000,00;$58.000,00;$71.200,00;$1.550.000,00;$198.000,00;$2.834.900,00
PD-00037-0027;2017;$572.880,00;$131.736,00;$284.372,76;$150.400,00;$2.012.138,80;$301.400,00;$3.452.927,56
PD-00037-0028;2017;$1.303.911,60;$503.600,00;$288.721,76;$468.600,00;$1.416.600,00;$491.600,00;$4.473.033,36
PD-00037-0029;2017;$1.514.239,00;$120.000,00;$199.093,44;$26.000,00;$141.000,00;$199.000,00;$2.199.332,44
PD-00037-0030;2017;$1.336.116,18;$40.720,00;;;$101.520,00;$285.000,00;$1.763.356,18
PD-00037-0031;2018;$1.383.300,00;$360.300,00;$269.801,80;$18.288,00;$367.290,00;$451.840,00;$2.850.819,80
PD-00037-0032;2018;$784.260,00;$370.895,00;$193.963,10;$15.636,00;$170.000,00;$601.840,00;$2.136.594,10
PD-00037-0033;2018;$325.800,00;$180.600,00;$158.142,00;$26.400,00;$1.188.500,00;$340.000,00;$2.219.442,00
PD-00037-0034;2018;$1.400.940,00;$213.000,00;$60.000,00;$0,00;$150.000,00;$300.000,00;$2.123.940,00
PD-00037-0035;2018;$2.719.680,00;$315.000,00;$175.925,76;$2.250,00;$863.000,00;$4.031.900,00;$8.107.755,76
PD-00037-0036;2019;$1.135.140,00;$231.300,00;$205.895,80;$45.388,00;$309.290,00;$641.840,00;$2.568.853,80
PD-00037-0037;2019;$1.609.200,00;$194.050,00;$221.000,00;$62.000,00;$1.124.770,00;$381.600,00;$3.592.620,00
PD-00037-0039;2019;$2.624.674,88;$135.200,00;$1.068.503,07;$925.000,00;$6.203.604,17;$4.500.372,32;$15.457.354,44
PD-00037-0040;2019;$1.179.840,00;$54.200,00;$121.428,44;$0,00;$634.515,56;$368.000,00;$2.357.984,00
PD-00037-0041;2020;$1.808.352,00;$149.000,00;$171.763,20;$300.000,00;$1.000.000,00;$5.596.631,31;$9.025.746,51
PD-00037-0042;2020;$1.814.400,00;$67.800,00;$213.831,00;$76.380,00;$1.583.834,00;$1.075.893,00;$4.832.138,00
PD-00037-0043;2020;$1.502.000,00;$202.203,94;$1.665.327,44;$56.550,00;$12.733.460,00;$3.237.533,02;$19.397.074,40
PD-00038-0001;2011;$921.600,00;$72.000,00;$81.510,00;$4.500,00;;$322.500,00;$1.402.110,00
PD-00038-0002;2011;$429.100,00;$51.600,00;$4.200,00;$12.000,00;$18.000,00;$72.000,00;$586.900,00
PD-00038-0003;2011;$637.000,00;$47.000,00;;;;;$684.000,00
PD-00038-0004;2011;$701.680,00;$48.000,00;$157.216,00;$2.400,00;$8.000,00;;$917.296,00
PD-00038-0005;2011;$639.621,00;$105.600,00;$50.600,00;$4.500,00;$87.000,00;$40.000,00;$927.321,00
PD-00038-0006;2011;$499.570,00;$46.000,00;$30.000,00;$21.000,00;$51.000,00;$260.000,00;$907.570,00
PD-00038-0007;2011;$271.890,00;$33.000,00;$20.550,00;$38.500,00;$20.800,00;$26.400,00;$411.140,00
PD-00038-0008;2011;$558.000,00;$34.000,00;$36.443,52;$43.000,00;$53.867,18;$76.443,52;$801.754,22
PD-00038-0009;2012;$235.600,00;$26.500,00;$39.580,00;$33.600,00;$15.000,00;$90.000,00;$440.280,00
PD-00038-0010;2012;$113.100,00;$16.400,00;;$45.000,00;$219.000,00;$87.219,00;$480.719,00
PD-00038-0011;2012;$494.400,00;$31.200,00;$71.535,98;$3.000,00;$140.000,00;$61.200,00;$801.335,98
PD-00038-0012;2012;$821.976,00;$99.600,00;$53.134,72;$3.600,00;;$24.000,00;$1.002.310,72
PD-00038-0014;2014;$975.940,00;$64.000,00;$5.600,00;$102.180,00;$57.500,00;$187.885,00;$1.393.105,00
PD-00038-0015;2014;$728.400,00;$134.400,00;$92.800,00;$9.000,00;$164.000,00;;$1.128.600,00
PD-00038-0016;2014;$2.648.150,00;$265.200,00;$130.032,00;;;$4.429.582,00;$7.472.964,00
PD-00038-0017;2015;$575.350,00;$77.000,00;$117.895,80;$50.000,00;$227.608,00;$40.000,00;$1.087.853,80
PD-00038-0018;2015;$973.200,00;$64.150,00;$88.750,00;$135.000,00;$293.270,00;$269.030,00;$1.823.400,00
PD-00038-0019;2017;$935.280,00;$121.680,00;$85.388,00;$231.000,00;$334.000,00;$195.000,00;$1.902.348,00
PD-00038-0020;2019;$1.809.244,80;$101.760,00;$183.828,62;;$1.716.500,00;$435.000,00;$4.246.333,42
PD-00038-0021;2019;$1.999.320,00;$143.500,00;$83.654,00;$1.168,54;$265.312,00;$277.556,36;$2.770.510,90
PD-00038-0022;2019;$3.849.600,00;$297.865,00;$415.880,00;$112.540,00;$128.500,00;$111.920,00;$4.916.305,00
PD-00038-0023;2019;$2.672.400,00;$186.778,00;$67.000,00;$59.000,00;$584.300,00;$127.000,00;$3.696.478,00
PD-00038-0024;2019;$2.296.920,00;$258.000,00;$503.681,92;$56.000,00;$790.000,00;$230.000,00;$4.134.601,92
PD-00038-0025;2019;$2.115.120,00;$70.000,00;$235.235,56;$10.000,00;$14.000,00;$32.000,00;$2.476.355,56
PD-00038-0026;2019;$1.381.520,00;$149.800,00;$214.108,40;$24.384,00;$316.980,00;$508.400,00;$2.595.192,40
PD-00039-0001;2009;$205.052,63;$33.157,90;$11.136,25;$10.673,68;;$1.625.000,00;$1.885.020,46
PD-00039-0002;2009;$311.792,00;$52.300,00;$44.556,96;$150.868,47;$2.404.543,82;$300.546,18;$3.264.607,43
PD-00039-0003;2009;$589.670,00;$76.500,00;$18.600,00;$95.200,00;$12.600,00;$256.700,00;$1.049.270,00
PD-00039-0004;2009;$400.168,42;$7.352,63;$23.300,27;$9.852,63;;$739.326,32;$1.180.000,27
PD-00039-0005;2009;$589.670,00;$76.500,00;$18.600,00;$95.200,00;$12.600,00;$256.700,00;$1.049.270,00
PD-00039-0006;2009;$743.296,00;$51.520,00;$224.925,37;$530.400,00;$17.710,00;$162.400,00;$1.730.251,37
PD-00039-0007;2009;$491.280,00;$53.200,00;$117.905,78;$23.498,00;$270.647,00;$85.000,00;$1.041.530,78
PD-00039-0008;2009;$393.201,05;$4.926,32;$21.828,25;$23.747,37;;$1.162.442,11;$1.606.145,10
PD-00039-0009;2009;$270.315,79;$9.121,05;$19.962,05;$41.347,37;$6.842,11;$92.536,84;$440.125,21
PD-00039-0010;2010;$207.589,47;$12.289,47;$10.680,03;$14.442,11;$104.210,53;$42.105,26;$391.316,87
PD-00039-0011;2010;$341.816,84;$21.447,37;$42.207,20;$57.221,05;$126.873,68;$92.631,58;$682.197,72
PD-00039-0012;2010;$348.503,16;$30.519,74;$70.344,64;$801.326,32;$117.821,05;$71.294,74;$1.439.809,65
PD-00039-0013;2010;$599.265,00;$43.900,00;$69.648,68;$10.800,00;$60.000,00;$182.000,00;$965.613,68
PD-00039-0014;2010;$217.886,32;$38.250,00;$45.943,32;$21.930,00;$283.027,37;$38.947,37;$645.984,38
PD-00039-0015;2010;$560.692,11;$80.500,00;$19.757,89;$6.489,47;$375.368,42;$120.500,00;$1.163.307,89
PD-00039-0016;2010;$763.184,20;$98.050,00;$62.296,58;$7.500,00;$596.156,00;$135.427,20;$1.662.613,98
PD-00039-0017;2010;$353.886,32;$57.052,63;$44.578,67;$33.075,79;$117.750,56;$21.052,63;$627.396,60
PD-00039-0018;2010;$162.048,00;$21.250,00;$19.000,00;$65.300,00;$230.000,00;$102.000,00;$599.598,00
PD-00039-0019;2010;$561.872,00;$70.870,00;$33.600,00;$106.000,00;$23.500,00;$10.000,00;$805.842,00
PD-00039-0020;2010;$984.080,00;$92.300,00;$67.200,00;$10.800,00;$210.600,00;$205.500,00;$1.570.480,00
PD-00039-0021;2010;$348.503,16;$30.519,74;$70.344,64;$421.600,00;$117.821,05;$71.294,74;$1.060.083,33
PD-00039-0022;2010;$352.051,20;$42.052,63;$72.598,65;$42.946,50;$29.030,07;$25.643,68;$564.322,73
PD-00039-0023;2010;$741.665,20;$10.000,00;$222.323,85;$23.600,00;$11.400,00;$148.970,00;$1.157.959,05
PD-00039-0024;2010;$353.390,00;$4.400,00;$146.032,75;$168.100,00;$20.000,00;$142.500,00;$834.422,75
PD-00039-0025;2010;$734.200,00;$46.500,00;$1.000,00;$1.000,00;$40.000,00;$125.000,00;$947.700,00
PD-00039-0026;2010;$196.340,00;$23.500,00;$310.600,00;$169.500,00;$51.000,00;$341.961,45;$1.092.901,45
PD-00039-0027;2010;$507.240,00;$90.500,00;;$61.800,00;$102.000,00;$190.000,00;$951.540,00
PD-00039-0028;2010;$477.663,61;$27.681,93;$49.442,61;$6.354,22;$27.624,10;$178.915,66;$767.682,13
PD-00039-0029;2010;$256.200,00;$9.050,00;$22.300,00;$17.925,00;;$595.000,00;$900.475,00
PD-00039-0030;2010;$583.220,00;$81.700,00;$67.200,00;$10.800,00;$669.060,00;$205.500,00;$1.617.480,00
PD-00039-0031;2010;$244.968,00;$28.550,00;$59.732,00;$25.080,00;$116.640,00;$85.750,00;$560.720,00
PD-00039-0032;2010;$998.400,00;$48.500,00;$69.792,50;$64.600,00;$92.000,00;$85.000,00;$1.358.292,50
PD-00039-0033;2010;$1.249.160,00;$127.500,00;$70.150,00;$14.400,00;$10.700,00;$306.400,00;$1.778.310,00
PD-00039-0034;2010;$371.947,37;$12.144,74;$34.248,20;$29.484,21;$43.073,68;$51.378,95;$542.277,15
PD-00039-0035;2010;$400.920,00;$45.000,00;$74.822,76;$11.800,00;$12.000,00;$150.000,00;$694.542,76
PD-00039-0036;2010;$484.464,00;$27.770,00;$95.200,00;$47.136,00;;$89.700,00;$744.270,00
PD-00039-0037;2010;$243.413,50;$10.000,00;$31.247,19;$57.853,20;$47.400,00;$29.750,00;$419.663,89
PD-00039-0038;2010;$826.012,00;$33.716,21;$7.000,00;$57.484,67;$15.000,00;$112.726,54;$1.051.939,42
PD-00039-0039;2010;$570.598,00;$9.900,00;$56.244,01;$191.692,00;$22.426,00;$104.914,00;$955.774,01
PD-00039-0040;2010;$453.300,00;$55.010,00;$50.183,60;$40.182,90;$316.739,70;$98.250,00;$1.013.666,20
PD-00039-0041;2010;$491.444,80;$57.816,00;$5.000,00;$7.668,00;$15.000,00;$216.700,00;$793.628,80
PD-00039-0042;2010;$497.420,00;$72.940,00;$5.000,00;$5.200,00;$226.440,00;$62.140,00;$869.140,00
PD-00039-0043;2011;$459.360,00;$78.332,00;$57.682,40;$122.400,00;$44.820,00;$229.696,00;$992.290,40
PD-00039-0044;2011;$365.040,00;$23.900,00;$51.168,42;$50.800,00;$320.000,00;$195.600,00;$1.006.508,42
PD-00039-0045;2011;$697.920,00;$29.700,00;$87.606,03;$62.000,00;$94.800,00;$120.000,00;$1.092.026,03
PD-00039-0046;2011;$564.105,60;$65.560,00;$47.697,25;$67.860,00;$16.640,00;$8.804,00;$770.666,85
PD-00039-0047;2011;$162.821,98;$14.282,00;$9.570,00;$14.453,75;$16.109,25;$163.423,20;$380.660,18
PD-00039-0048;2011;$296.842,11;$9.980,00;$28.617,44;$57.760,80;;$94.048,00;$487.248,35
PD-00039-0049;2011;$671.882,40;$14.720,00;$57.423,64;$44.484,00;$109.740,00;$58.926,20;$957.176,24
PD-00039-0050;2011;$568.813,40;$26.520,00;$62.850,13;$82.008,00;$172.280,00;$53.869,20;$966.340,73
PD-00039-0051;2011;$1.345.000,00;$25.000,00;$5.000,00;$2.000,00;$75.000,00;$353.050,00;$1.805.050,00
PD-00039-0052;2011;$451.080,00;$26.000,00;$44.252,75;$24.215,00;$208.020,00;$30.100,00;$783.667,75
PD-00039-0053;2011;$795.120,00;$205.300,00;$120.000,00;$21.600,00;$4.882.404,00;$1.322.880,00;$7.347.304,00
PD-00039-0054;2012;$599.380,00;$78.720,00;$38.210,09;$9.984,00;$79.500,00;$132.000,00;$937.794,09
PD-00039-0055;2012;$511.746,17;$45.276,00;$4.860,00;$12.600,00;$57.620,00;$13.760,00;$645.862,17
PD-00039-0056;2012;$371.160,00;$37.000,00;$23.208,00;$10.800,00;$16.600,00;$96.280,00;$555.048,00
PD-00039-0057;2012;$218.077,56;$15.536,59;$30.513,72;$16.165,85;$5.030,49;$218.207,32;$503.531,53
PD-00039-0058;2012;$444.143,90;$15.536,59;$20.747,26;$11.775,61;$207.317,07;$1.713.292,68;$2.412.813,11
PD-00039-0059;2012;$342.972,63;$9.778,95;$36.000,00;$97.873,68;$18.947,37;$119.494,74;$625.067,37
PD-00039-0060;2012;$333.600,00;$26.400,00;$46.213,69;$31.700,00;$22.300,00;$5.600,00;$465.813,69
PD-00039-0061;2012;$532.600,00;$11.500,00;$17.000,00;;$220.000,00;$456.350,00;$1.237.450,00
PD-00039-0062;2012;$504.324,00;$27.850,00;$10.000,00;$7.884,00;$45.460,00;$118.300,00;$713.818,00
PD-00039-0063;2012;$1.011.520,00;$76.600,00;;;;;$1.088.120,00
PD-00039-0064;2012;$511.746,17;$47.776,00;$4.860,00;$12.600,00;$57.620,00;$13.760,00;$648.362,17
PD-00039-0065;2012;$746.830,00;$54.100,00;$61.450,00;$5.740,00;$85.050,00;$89.250,00;$1.042.420,00
PD-00039-0066;2012;$901.510,40;$16.800,00;$13.080,00;$17.822,00;$604.360,00;$85.282,00;$1.638.854,40
PD-00039-0067;2012;$193.320,00;$18.000,00;$49.000,00;$165.000,00;;$262.000,00;$687.320,00
PD-00039-0068;2012;$1.111.718,14;$43.958,65;$2.316,69;$17.794,30;$443.171,44;$256.376,69;$1.875.335,91
PD-00039-0070;2012;$801.810,00;$64.680,00;$51.660,00;$176.250,00;$30.000,00;$29.950,00;$1.154.350,00
PD-00039-0071;2014;$594.283,39;$5.200,00;$7.000,00;;$20.000,00;;$626.483,39
PD-00039-0072;2014;$783.636,00;$108.000,00;$31.177,54;$247.000,00;$104.947,46;$80.000,00;$1.354.761,00
PD-00039-0073;2014;$2.037.355,03;$491.000,00;$129.553,42;;$2.935.769,05;$2.855.038,55;$8.448.716,05
PD-00039-0074;2015;$155.000,00;$35.000,00;;$15.000,00;$20.000,00;$245.000,00;$470.000,00
PD-00039-0075;2016;$2.476.600,00;$156.000,00;$781.850,00;$85.500,00;$589.600,00;$2.233.350,00;$6.322.900,00
PD-00039-0076;2016;$2.777.600,00;$167.000,00;$420.900,00;$447.000,00;$710.500,00;$686.200,00;$5.209.200,00
PD-00039-0077;2017;$306.000,00;$22.940,00;$26.434,46;$26.409,24;$167.479,82;$120.000,00;$669.263,52
PD-00039-0665;2019;$1.456.772,84;$40.000,00;$987.032,49;$15.168.903,20;;$347.235,43;$17.999.943,96
PD-00040-0001;2009;$658.716,00;$60.000,00;$10.000,00;$4.800,00;$8.000,00;$40.000,00;$781.516,00
PD-00040-0002;2009;$575.801,40;$51.500,00;$99.448,77;$8.800,00;$79.000,00;$62.000,00;$876.550,17
PD-00040-0003;2009;$329.664,00;$26.250,00;$56.100,00;$8.800,00;$18.250,00;$196.020,00;$635.084,00
PD-00040-0004;2009;$800.934,00;$64.750,00;$50.000,00;$65.000,00;$160.000,00;$265.000,00;$1.405.684,00
PD-00040-0005;2010;$796.830,00;$56.200,00;$23.000,00;$127.400,00;$19.000,00;$278.500,00;$1.300.930,00
PD-00040-0006;2010;$464.400,00;$45.360,00;$23.558,00;$7.200,00;$9.000,00;$8.000,00;$557.518,00
PD-00040-0007;2010;$329.664,00;$26.250,00;$56.100,00;$9.600,00;$18.250,00;$196.020,00;$635.884,00
PD-00040-0008;2010;$622.080,00;$50.000,00;$20.310,00;$33.600,00;$48.000,00;$187.000,00;$960.990,00
PD-00040-0009;2010;$223.200,00;$71.000,00;$35.270,00;$21.600,00;$7.000,00;$186.000,00;$544.070,00
PD-00040-0010;2010;$730.800,00;$59.000,00;$34.444,25;$23.000,00;$84.500,00;$158.500,00;$1.090.244,25
PD-00040-0011;2010;$262.476,00;$39.000,00;$47.850,00;$11.100,00;$0,00;$130.000,00;$490.426,00
PD-00040-0012;2010;$57.600,00;$12.000,00;;$4.800,00;$0,00;;$74.400,00
PD-00040-0013;2010;$86.400,00;$12.000,00;;$4.800,00;$0,00;;$103.200,00
PD-00040-0014;2010;$43.200,00;$10.000,00;$0,00;$4.800,00;$0,00;$0,00;$58.000,00
PD-00040-0015;2010;$32.400,00;$7.500,00;$0,00;$3.600,00;$0,00;$0,00;$43.500,00
PD-00040-0016;2010;$770.880,00;$60.000,00;$94.000,00;$4.800,00;$14.500,00;$30.000,00;$974.180,00
PD-00040-0017;2012;$349.200,00;$24.000,00;$5.000,00;$3.600,00;$410.000,00;$100.000,00;$891.800,00
PD-00040-0018;2012;$502.200,00;$49.800,00;$37.216,00;$7.488,00;$53.600,00;$135.000,00;$785.304,00
PD-00040-0019;2012;$491.200,00;$42.500,00;$14.208,00;$2.250,00;$16.800,00;$120.000,00;$686.958,00
PD-00040-0020;2012;$604.080,00;$39.000,00;$31.836,42;$7.200,00;$64.900,00;$65.800,00;$812.816,42
PD-00040-0021;2014;$1.509.580,00;$292.000,00;$228.164,00;$80.000,00;$149.200,00;$117.000,00;$2.375.944,00
PD-00040-0022;2016;$2.571.633,00;$84.680,00;$254.611,30;$31.000,00;$160.400,00;$154.680,00;$3.257.004,30
PD-00040-0023;2018;$3.289.679,00;$456.900,00;$332.883,00;$637.500,00;$1.154.000,00;$239.100,00;$6.110.062,00
PD-00040-0024;2020;$3.553.200,00;$238.992,00;$803.992,82;$756.681,19;$1.241.053,48;$882.445,55;$7.476.365,04
PD-00043-0087;2019;$5.979.442,44;$1.432.860,00;$608.282,00;;$1.072.000,00;$2.090.270,00;$11.182.854,44
PD-00043-0109;2009;$448.720,26;$43.830,00;$129.243,23;$11.500,00;$98.600,00;$274.510,00;$1.006.403,49
PD-00043-0111;2011;$827.369,60;$45.360,00;$29.800,00;;$234.000,00;$196.000,00;$1.332.529,60
PD-00043-0112;2012;$1.584.529,50;$100.860,00;$42.000,00;$2.250,00;$522.000,00;$237.000,00;$2.488.639,50
PD-00043-0114;2014;$1.144.820,00;$90.000,00;$36.500,00;$1.500,00;$941.000,00;$158.000,00;$2.371.820,00
PD-00043-0116;2017;$1.763.560,00;$24.000,00;$132.984,00;$3.100,00;$150.490,00;$41.835,00;$2.115.969,00
PD-00043-0119;2019;$1.772.842,80;$327.546,52;$285.010,68;$94.800,00;$516.874,00;$231.180,00;$3.228.254,00
PD-00043-0121;2020;$2.615.002,80;$488.600,00;$273.025,00;$78.500,00;$639.000,00;$124.000,00;$4.218.127,80
PD-00043-0209;2009;$296.337,16;$5.420,00;$61.291,08;$3.000,00;$246.285,70;$80.000,00;$692.333,94
PD-00043-0211;2011;$1.362.914,40;$77.240,00;$157.921,89;$64.800,00;$132.096,82;$87.000,00;$1.881.973,11
PD-00043-0212;2012;$1.681.237,50;$22.400,00;$224.951,00;$50.500,00;$496.150,00;$86.000,00;$2.561.238,50
PD-00043-0214;2014;$758.826,78;$110.168,00;;$9.000,00;$60.000,00;$40.950,00;$978.944,78
PD-00043-0216;2017;$1.389.889,81;$98.000,00;$188.360,00;$203.100,00;$143.000,00;;$2.022.349,81
PD-00043-0219;2019;$7.849.523,75;$1.760.976,60;$765.560,60;$46.300,00;$7.832.000,00;$1.706.000,00;$19.960.360,95
PD-00043-0309;2010;$755.281,70;$13.400,00;$92.669,80;$4.500,00;$176.060,50;$25.000,00;$1.066.912,00
PD-00043-0311;2011;$484.286,00;$77.101,20;$124.629,12;$142.000,00;$110.500,00;$49.800,00;$988.316,32
PD-00043-0312;2012;$937.894,80;$50.780,00;$104.643,50;$6.000,00;$105.235,00;$36.000,00;$1.240.553,30
PD-00043-0314;2014;$1.727.363,32;$144.300,00;$98.824,00;;;$190.000,00;$2.160.487,32
PD-00043-0316;2017;$1.142.320,00;$101.600,00;$119.798,00;$120.000,00;$744.000,00;$200.000,00;$2.427.718,00
PD-00043-0409;2010;$700.836,84;$19.100,00;$109.780,32;$4.500,00;$315.000,00;;$1.149.217,16
PD-00043-0411;2011;$762.420,00;$25.200,00;$75.925,00;$750,00;$15.000,00;$138.000,00;$1.017.295,00
PD-00043-0412;2012;$1.135.463,00;$86.200,00;$205.233,15;$4.000,00;$4.000,00;$100.000,00;$1.534.896,15
PD-00043-0416;2017;$3.433.690,89;$194.000,00;$150.480,00;$172.500,00;$38.800,00;$211.300,00;$4.200.770,89
PD-00043-0509;2010;$1.769.834,52;$28.400,00;$175.825,12;$49.500,00;$720.300,00;$389.700,00;$3.133.559,64
PD-00043-0511;2011;$791.496,40;$19.100,00;$87.357,50;$4.500,00;$315.000,00;;$1.217.453,90
PD-00043-0512;2012;$2.516.224,34;$172.800,00;$302.164,56;$113.400,00;$1.305.000,00;$262.000,00;$4.671.588,90
PD-00043-0516;2016;$7.233.480,00;$1.131.000,00;$902.806,84;$230.000,00;$5.425.500,00;$285.000,00;$15.207.786,84
PD-00043-0609;2010;$370.296,00;$7.400,00;$45.880,00;$1.500,00;$130.000,00;$35.000,00;$590.076,00
PD-00043-0611;2011;$469.409,00;$4.680,00;$52.272,00;$178.700,00;$50.600,00;$125.500,00;$881.161,00
PD-00043-0709;2010;$599.580,00;$7.400,00;$48.531,50;$2.000,00;;;$657.511,50
PD-00043-0711;2011;$205.420,23;$15.119,00;$16.020,05;$2.261,30;$13.030,08;$53.000,00;$304.850,66
PD-00043-0809;2010;$814.050,00;$164.144,34;$159.476,43;$1.500,00;$303.000,00;$245.000,00;$1.687.170,77
PD-00043-0811;2011;$517.420,00;$6.000,00;$60.992,00;$2.000,00;;$20.000,00;$606.412,00
PD-00043-0909;2010;$1.603.980,00;$29.450,00;$195.296,25;$43.600,00;$490.300,00;$559.700,00;$2.922.326,25
PD-00043-0911;2011;$1.139.760,00;$36.444,00;$175.266,00;$20.760,00;$232.800,00;$186.000,00;$1.791.030,00
PD-00043-1009;2010;$1.756.980,00;$43.650,00;$226.673,75;$34.500,00;$630.015,00;$162.350,00;$2.854.168,75
PD-00043-1011;2011;$1.069.519,52;$88.370,00;$118.990,10;$54.000,00;$2.000,00;$144.400,00;$1.477.279,62
PD-00043-1111;2011;$336.970,04;$52.760,00;$4.800,00;$62.283,85;$336.137,00;$94.800,00;$887.750,89
PD-00043-1211;2011;$9.334.666,05;$754.940,00;$1.274.671,80;$223.600,00;$4.727.000,00;$1.265.000,00;$17.579.877,85
PD-00044-0001;2009;$189.065,00;$3.313,00;$36.367,00;$8.400,00;$22.170,00;;$259.315,00
PD-00044-0002;2009;$225.500,00;$10.000,00;$15.000,00;$3.500,00;$22.000,00;$24.000,00;$300.000,00
PD-00044-0003;2009;$228.480,00;$8.000,00;$14.000,00;$2.000,00;$25.000,00;$22.000,00;$299.480,00
PD-00044-0004;2009;$222.240,00;$32.604,00;$21.795,00;$7.440,00;$39.108,00;;$323.187,00
PD-00044-0005;2009;$724.630,00;$23.000,00;$3.200,00;$32.500,00;$89.500,00;$96.000,00;$968.830,00
PD-00044-0006;2010;$448.800,00;$50.000,00;$45.600,00;$32.400,00;$63.500,00;;$640.300,00
PD-00044-0007;2010;$579.750,00;$16.000,00;$3.200,00;$28.500,00;$89.500,00;$102.495,00;$819.445,00
PD-00044-0008;2010;$222.240,00;$32.604,00;$21.795,00;$7.440,00;$39.108,00;;$323.187,00
