CodProj;Ano Carregamento;Recursos Humanos;Viagens e Diárias;Outras despesas;Material de Consumo;Material Permanente;Serviço de Terceiros;Custo Total Previsto
PD-06491-0313;2013;$1.435.824,00;$285.000,00;$288.641,46;$417.500,00;$914.500,00;$445.000,00;$3.786.465,46
PD-06491-0321;2014;$1.796.676,35;$64.000,00;$160.440,00;$9.500,00;$754.200,00;$560.500,00;$3.345.316,35
PD-06491-0329;2019;$2.752.942,40;$127.000,00;$334.324,00;$160.000,00;$240.000,00;$115.000,00;$3.729.266,40
PD-06491-0333;2015;$1.065.645,00;$180.150,00;$55.200,00;;$691.000,00;;$1.991.995,00
PD-06491-0335;2014;$1.013.392,72;$50.000,00;$119.684,00;$67.200,00;$29.000,00;$48.000,00;$1.327.276,72
PD-06491-0337;2014;$1.844.695,71;$163.415,00;$49.980,00;$21.599,88;;$45.000,00;$2.124.690,59
PD-06491-0339;2014;$2.207.436,29;$143.780,00;$96.900,00;;;;$2.448.116,29
PD-06491-0341;2019;$2.367.282,12;$344.700,00;$414.400,80;$21.600,00;$1.222.102,00;$840.000,00;$5.210.084,92
PD-06491-0351;2015;$2.427.072,00;$58.000,00;$298.800,00;$320.700,00;$517.000,00;$111.600,00;$3.733.172,00
PD-06491-0353;2017;$2.029.200,00;$94.750,00;$323.725,20;$120.000,00;$957.000,00;$95.000,00;$3.619.675,20
PD-06491-0363;2020;$3.982.645,66;$341.940,00;$933.172,64;$205.500,00;$4.112.247,00;$377.545,00;$9.953.050,30
PD-06491-0365;2016;$2.433.688,96;$62.400,00;$138.800,00;$126.500,00;$595.000,00;$179.500,00;$3.535.888,96
PD-06491-0369;2016;$3.184.244,00;$94.000,00;$170.268,24;$186.000,00;$90.000,00;$261.000,00;$3.985.512,24
PD-06491-0373;2018;$5.471.385,58;$555.300,00;$1.061.567,04;$102.000,00;$1.450.500,00;$2.126.500,00;$10.767.252,62
PD-06491-0379;2016;$2.370.741,04;$72.230,00;$168.656,00;$209.000,00;$10.000,00;$180.000,00;$3.010.627,04
PD-06491-0383;2017;$1.360.806,27;$108.000,00;$236.699,95;$256.210,00;$341.989,00;$128.540,00;$2.432.245,22
PD-06491-0389;2019;$2.326.574,90;$1.147.540,00;$373.079,28;$11.282,20;$807.186,94;$275.000,00;$4.940.663,32
PD-06491-0391;2017;$2.258.045,00;$116.800,00;$241.856,00;;;;$2.616.701,00
PD-06491-0403;2017;$3.496.603,55;$135.000,00;$566.322,16;$336.394,00;$478.740,00;$1.615.000,00;$6.628.059,71
