Arquivo;CodProj;Data de Início;Data de Conclusão;CNPJ;Entidade;Tipo de Entidade;Unidade Federativa;Região
APLPED07469_RELATORIOFINALPED_0002_S01.XML;PD-07469-0002;;;11589522000197;EMPRESA DE TRANSMISSÃO DE ENERGIA DO MATO GROSSO S.A. - ETEM;Cooperada;SP;Sudeste
APLPED07469_RELATORIOFINALPED_0002_S01.XML;PD-07469-0002;;;12385102000151;EMPRESA DE TRANSMISSÃO DE VÁRZEA GRANDE S.A. - ETVG;Cooperada;SP;Sudeste
APLPED07884_RELATORIOFINALPED_0001_S01.XML;PD-07884-0001;;;14029911000156;Extremoz Transmissora do Nordeste S/A;Proponente;PE;Nordeste
APLPED08106_RELATORIOFINALPED_0001_S01.XML;PD-08106-0001;;;14863121000171;LUZIÂNIA-NIQUELÂNDIA TRANSMISSORA S.A;Cooperada;RJ;Sudeste
APLPED08106_RELATORIOFINALPED_0001_S01.XML;PD-08106-0001;;;15286382000139;MATRINCHÃ TRANSMISSORA DE ENERGIA (TP NORTE) S.A;Proponente;PR;Norte
APLPED08106_RELATORIOFINALPED_0001_S01.XML;PD-08106-0001;;;17553029000101;PARANAÍBA TRANSMISSORA DE ENERGIA S.A.;Cooperada;RJ;Sudeste
APLPED08196_RELATORIOFINALPED_0001_S03.XML;PD-08196-0001;;;16383969000129;TRANSMISSORA SUL LITORÂNEA DE ENERGIA S.A. - TSLE;Proponente;SC;Sul
APLPED2331_RELATORIOFINALPED_0002_S17.XML;PD-02331-0002;;;02302100000106;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Cooperada;SP;Sudeste
APLPED2331_RELATORIOFINALPED_0002_S17.XML;PD-02331-0002;;;28152650000171;ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.;Cooperada;ES;Sudeste
APLPED2606_RELATORIOFINALPED_0002_S09.XML;PD-02606-0002;10MAY2010;07DEC2013;03984987000114;Empresa Catarinense de Transmissão de Energia S.A;Proponente;SC;Sul
APLPED2606_RELATORIOFINALPED_0002_S09.XML;PD-02606-0002;10MAY2010;07DEC2013;04416923000180;Empresa Paraense de Transmissão de Energia S.A;Cooperada;PA;Norte
APLPED2606_RELATORIOFINALPED_0002_S09.XML;PD-02606-0002;10MAY2010;07DEC2013;04416935000104;Empresa Amazonense de Transmissão de Energia S.A;Cooperada;AM;Norte
APLPED2606_RELATORIOFINALPED_0002_S09.XML;PD-02606-0002;10MAY2010;07DEC2013;05321920000125;Empresa Regional de Transmissão de Energia S.A;Cooperada;PA;Norte
APLPED2606_RELATORIOFINALPED_0002_S09.XML;PD-02606-0002;10MAY2010;07DEC2013;05321987000160;Empresa Norte de Transmissão de Energia S.A;Cooperada;PA;Norte
APLPED2606_RELATORIOFINALPED_0002_S09.XML;PD-02606-0002;10MAY2010;07DEC2013;05973734000170;Lumitrans Companhia Transmissora de Energia Elétrica;Cooperada;SP;Sudeste
APLPED2606_RELATORIOFINALPED_0002_S09.XML;PD-02606-0002;10MAY2010;07DEC2013;07752818000100;Sistema de Transmissão Catarinense S.A;Cooperada;SC;Sul
APLPED2607_RELATORIOFINALPED_0001_S04.xml;PD-02607-0001;;;03723755000102;Empresa de Transmissão de Energia do Oeste Ltda.;Cooperada;SP;Sudeste
APLPED2607_RELATORIOFINALPED_0001_S04.xml;PD-02607-0001;;;04102424000118;Transmissora Sudeste Nordeste S.A;Proponente;GO;Centro Oeste
APLPED2607_RELATORIOFINALPED_0002_S11.xml;PD-02607-0002;;;04102424000118;Transmissora Sudeste Nordeste S.A;Proponente;GO;Centro Oeste
APLPED2607_RELATORIOFINALPED_0003_S15.xml;PD-02607-0003;;;04102424000118;Transmissora Sudeste Nordeste S.A;Proponente;GO;Centro Oeste
APLPED2607_RELATORIOFINALPED_0005_S01.xml;PD-02607-0005;;;04102424000118;Transmissora Sudeste Nordeste S.A;Proponente;GO;Centro Oeste
APLPED2608_RELATORIOFINALPED_1101_S09.xml;PD-02608-1101;06JUN2011;30MAR2015;08626861000191;Serra Paracatu Transmissora de Energia S.A;Cooperada;RJ;Sudeste
APLPED2648_RELATORIOFINALPED_0001_S13.XML;PD-02648-0001;10SEP2009;10MAY2013;04416923000180;Empresa Paraense de Transmissão de Energia S.A;Proponente;PA;Norte
APLPED2648_RELATORIOFINALPED_0001_S13.XML;PD-02648-0001;10SEP2009;10MAY2013;05321987000160;Empresa Norte de Transmissão de Energia S.A;Cooperada;PA;Norte
APLPED2651_RELATORIOFINALPED_0001_S03.XML;PD-02651-0001;04JAN2010;03NOV2012;04416935000104;Empresa Amazonense de Transmissão de Energia S.A;Proponente;AM;Norte
APLPED2651_RELATORIOFINALPED_0002_S14.XML;PD-02651-0002;09SEP2009;08SEP2011;04416935000104;Empresa Amazonense de Transmissão de Energia S.A;Proponente;AM;Norte
APLPED2651_RELATORIOFINALPED_0005_S04.XML;PD-02651-0005;10MAY2010;09MAY2012;04416935000104;Empresa Amazonense de Transmissão de Energia S.A;Proponente;AM;Norte
APLPED2651_RELATORIOFINALPED_0008_S07.XML;PD-02651-0008;04MAR2013;02MAY2015;04416935000104;Empresa Amazonense de Transmissão de Energia S.A;Proponente;AM;Norte
APLPED2866_RELATORIOFINALPED_0003_S17.xml;PD-02866-0003;02SEP2010;23FEB2015;04368898000106;COPEL DISTRIBUIÇÃO S.A.;Proponente;PR;Sul
APLPED2866_RELATORIOFINALPED_0004_S12.xml;PD-02866-0004;;;04368898000106;COPEL DISTRIBUIÇÃO S.A.;Proponente;PR;Sul
APLPED2866_RELATORIOFINALPED_0242_S09.xml;PD-02866-0242;;;04368898000106;COPEL DISTRIBUIÇÃO S.A.;Proponente;PR;Sul
APLPED3033_RELATORIOFINALPED_0002_S15.XML;PD-03033-0002;05DEC2013;04OCT2017;10553895000145;TRANSENERGIA RENOVÁVEL S.A;Cooperada;RJ;Sudeste
APLPED3033_RELATORIOFINALPED_0002_S15.XML;PD-03033-0002;05DEC2013;04OCT2017;10997565000149;Transenergia São Paulo S.A.;Cooperada;RJ;Sudeste
APLPED3033_RELATORIOFINALPED_0002_S15.XML;PD-03033-0002;05DEC2013;04OCT2017;13317273000106;CALDAS NOVAS TRANSMISSÃO S.A.;Cooperada;RJ;Sudeste
APLPED3619_RELATORIOFINALPED_0901_S01.xml;PD-03619-0901;;;04711350000117;Nordeste Transmissora de Energia S.A;Proponente;AL;Nordeste
APLPED3619_RELATORIOFINALPED_0902_S32.XML;PD-03619-0902;01JUL2009;29DEC2012;04711350000117;Nordeste Transmissora de Energia S.A;Proponente;AL;Nordeste
APLPED3619_RELATORIOFINALPED_0902_S32.XML;PD-03619-0902;01JUL2009;29DEC2012;05217560000116;Sul Transmissora de Energia S.A;Cooperada;RS;Sul
APLPED3619_RELATORIOFINALPED_0903_S17.XML;PD-03619-0903;01JUL2009;29DEC2012;04711350000117;Nordeste Transmissora de Energia S.A;Proponente;AL;Nordeste
APLPED3619_RELATORIOFINALPED_0903_S17.XML;PD-03619-0903;01JUL2009;29DEC2012;05217560000116;Sul Transmissora de Energia S.A;Cooperada;RS;Sul
APLPED3619_RELATORIOFINALPED_0904_S09.XML;PD-03619-0904;10AUG2009;31JUL2012;04711350000117;Nordeste Transmissora de Energia S.A;Proponente;AL;Nordeste
APLPED3619_RELATORIOFINALPED_0904_S09.XML;PD-03619-0904;10AUG2009;31JUL2012;05217560000116;Sul Transmissora de Energia S.A;Cooperada;RS;Sul
APLPED3619_RELATORIOFINALPED_1001_S03.XML;PD-03619-1001;01DEC2010;01SEP2013;04711350000117;Nordeste Transmissora de Energia S.A;Proponente;AL;Nordeste
APLPED3619_RELATORIOFINALPED_1001_S03.XML;PD-03619-1001;01DEC2010;01SEP2013;05217560000116;Sul Transmissora de Energia S.A;Cooperada;RS;Sul
APLPED3619_RELATORIOFINALPED_1002_S19.XML;PD-03619-1002;01DEC2010;01SEP2013;04711350000117;Nordeste Transmissora de Energia S.A;Proponente;AL;Nordeste
APLPED3619_RELATORIOFINALPED_1002_S19.XML;PD-03619-1002;01DEC2010;01SEP2013;05217560000116;Sul Transmissora de Energia S.A;Cooperada;RS;Sul
APLPED3619_RELATORIOFINALPED_1003_S01.xml;PD-03619-1003;;;04711350000117;Nordeste Transmissora de Energia S.A;Proponente;AL;Nordeste
APLPED3619_RELATORIOFINALPED_1003_S01.xml;PD-03619-1003;;;05217560000116;Sul Transmissora de Energia S.A;Cooperada;RS;Sul
APLPED4380_RELATORIOFINALPED_0001_S02.XML;PD-04380-0001;10MAY2010;08OCT2014;04416923000180;Empresa Paraense de Transmissão de Energia S.A;Cooperada;PA;Norte
APLPED4380_RELATORIOFINALPED_0001_S02.XML;PD-04380-0001;10MAY2010;08OCT2014;04416935000104;Empresa Amazonense de Transmissão de Energia S.A;Cooperada;AM;Norte
APLPED4734_RELATORIOFINALPED_0001_S09.xml;PD-04734-0001;;;05974828000164;COMPANHIA TRANSLESTE DE TRANSMISSÃO;Proponente;MG;Sudeste
APLPED4734_RELATORIOFINALPED_0001_S09.xml;PD-04734-0001;;;07153003000104;COMPANHIA TRANSIRAPÉ DE TRANSMISSÃO;Cooperada;MG;Sudeste
APLPED4906_RELATORIOFINALPED_0001_S03.xml;PD-04906-0001;;;05875236000195;ATE TRANSMISSORA DE ENERGIA S.A;Proponente;PR;Sul
APLPED4950_RELATORIOFINALPED_0294_S06.xml;PD-04950-0294;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Cooperada;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0302_S03.xml;PD-04950-0302;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0305_S04.xml;PD-04950-0305;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0316_S05.xml;PD-04950-0316;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0320_S09.xml;PD-04950-0320;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0323_S03.xml;PD-04950-0323;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0325_S15.xml;PD-04950-0325;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0326_S05.xml;PD-04950-0326;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0330_S06.xml;PD-04950-0330;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0362_S10.xml;PD-04950-0362;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0371_S01.xml;PD-04950-0371;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0372_S03.xml;PD-04950-0372;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0406_S02.xml;PD-04950-0406;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
APLPED4950_RELATORIOFINALPED_0419_S04.xml;PD-04950-0419;;;06981180000116;CEMIG DISTRIBUIÇÃO S.A;Proponente;MG;Sudeste
