"","id","fonte_de_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_agente_financiador","modalidade_financiamento","nome_agente_Executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","natureza_financiamento","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2018","valor_executado_2019","valor_executado_2020","descricao_do_projeto2","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"139","Bndes-16204181","Bndes",2016-09-02,2021-12-02,1917,"APOIO AO PLANO DE INVESTIMENTOS DA FINNET, CONTEMPLANDO INVESTIMENTOS EM PESQUISA E DESENVOLVIMENTO, NO AMBITO DO PROGRAMA BNDES PARA O DESENVOLVIMENTO DA INDUSTRIA NACIONAL DE SOFTWARE E SERVICOS DE TECNOLOGIA DA INFORMACAO-BNDES PROSOFT.","ATIVO",4496000,3707968.70109546,NA,"REEMBOLSÁVEL","REEMBOLSÁVEL","FINNET S/A - TECNOLOGIA.","PRIVADA","SP","SE","RECURSOS LIVRES - FAT",0,0,0,30899.7391757955,10186.7272008117,10186.7272008117,10186.7272008117,10158.8183591656,"apoio ao plano de investimentos da finnet, contemplando investimentos em pesquisa e desenvolvimento, no ambito do programa bndes para o desenvolvimento da industria nacional de software e servicos de tecnologia da informacao-bndes prosoft.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"140","Bndes-16204201","Bndes",2016-09-02,2022-09-02,2191,"APOIO AO PLANO DE INVESTIMENTOS DA EMPRESA, CONTEMPLANDO INVESTIMENTOS EM ESTUDOS E PROJETOS, PESQUISA E DESENVOLVIMENTO, INFRAESTRUTURA E MARKETING E COMERCIALIZACAO, NO AMBITO DO BNDES PROSOFT.","ATIVO",9189000,6630675.03423094,NA,"REEMBOLSÁVEL","REEMBOLSÁVEL","ACESSO DIGITAL TECNOLOGIA DA INFORMACAO S.A.","PRIVADA","SP","SE","RECURSOS LIVRES - FAT",0,0,0,55255.6252852579,18216.1402039312,18216.1402039312,18216.1402039312,18166.2329704957,"apoio ao plano de investimentos da empresa, contemplando investimentos em estudos e projetos, pesquisa e desenvolvimento, infraestrutura e marketing e comercializacao, no ambito do bndes prosoft.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"141","Bndes-16204301","Bndes",2016-09-01,2024-09-01,2922,"APOIO AO PLANO DE NEGOCIOS, QUE INCLUI O DESENVOLVIMENTO E PRODUCAO DA CARTEIRA DE JOGOS DIGITAIS E REALIZACAO DE INVESTIMENTOS CORPORATIVOS E EM MARKETING.","ATIVO",1317000,713036.960985626,NA,"REEMBOLSÁVEL","REEMBOLSÁVEL","AQUIRIS GAME STUDIO S/A","PRIVADA","RS","S","RECURSOS LIVRES - FAT",0,0,0,5892.8674461622,1958.89274996051,1958.89274996051,1958.89274996051,1953.52592050857,"apoio ao plano de negocios, que inclui o desenvolvimento e producao da carteira de jogos digitais e realizacao de investimentos corporativos e em marketing.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"142","Bndes-15208371","Bndes",2016-08-26,2016-08-26,0,"DESENVOLVIMENTO DE UM SISTEMA BIOTECNOLOGICO MODULAR E UM BIODIGESTOR DE LODO PARA TRATAMENTO DAS AGUAS RESIDUARIAS (EFLUENTES) DA SUINOCULTURA, POSSIBILITANDO O SEU REUSO NAS INSTALACOES OU APLICACAO NAS AREAS AGRICOLAS PARA IRRIGACAO.","ATIVO",3242427.73,3242427.73,NA,"NÃO REEMBOLSÁVEL","NÃO REEMBOLSÁVEL","FUNDACAO DE APOIO A PESQUISA E AO DESENVOLVIMENTO-FAPED","PRIVADA","SC","S","RECURSOS ESTATUTÁRIOS - PRÓPRIOS ESTATUTÁRIOS",0,0,0,25530.927007874,8907.76848901099,8907.76848901099,8907.76848901099,8883.36364383562,"desenvolvimento de um sistema biotecnologico modular e um biodigestor de lodo para tratamento das aguas residuarias (efluentes) da suinocultura, possibilitando o seu reuso nas instalacoes ou aplicacao nas areas agricolas para irrigacao.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"143","Bndes-15208671","Bndes",2016-07-20,2028-07-20,4383,"IMPLANTACAO DE UMA UNIDADE INDUSTRIAL PARA DESENVOLVIMENTO, PRODUCAO E COMERCIALIZACAO DE MEDICAMENTOS BIOLOGICOS, EM VALINHOS (SP), SUPORTE AS ATIVIDADES DE DESENVOLVIMENTO DE ME ICAMENTOS BIOLOGICOS E INVESTIMENTO SOCIAL VOLTADO PARA A COMUNIDADE","ATIVO",200000000,74150125.4848277,NA,"REEMBOLSÁVEL","REEMBOLSÁVEL","BIONOVIS S.A. - COMPANHIA BRASILEIRA DE BIOTECNOLOGIA F","PRIVADA","SP","SE","RECURSOS LIVRES - FAT",0,0,0,452134.911492852,203709.135947329,203709.135947329,203709.135947329,203151.028725555,"implantacao de uma unidade industrial para desenvolvimento, producao e comercializacao de medicamentos biologicos, em valinhos (sp), suporte as atividades de desenvolvimento de me icamentos biologicos e investimento social voltado para a comunidade",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"144","Bndes-16201681","Bndes",2016-07-15,2016-07-15,0,"DESENVOLVIMENTO E TESTE EM ESCALA INDUSTRIAL, DE UMA TECNOLOGIA PROVADA EM LABORATORIO , DE PIROLISE OU QUEBRA DE GASES DE EXAUSTAO DE TERMELETRICA POR MEIO DE CERAMICAS SUSCEPTORAS  E MICRO-ONDAS, PARA REDUCAO DE EMISSOES DE GASES DE EFEITO ESTUFA.","ATIVO",8254018.27,8254018.27,NA,"NÃO REEMBOLSÁVEL","NÃO REEMBOLSÁVEL","FUNDACAO DE DESENVOLVIMENTO DA UNICAMP FUNCAMP","PRIVADA","SP","SE","RECURSOS ESTATUTÁRIOS - PRÓPRIOS ESTATUTÁRIOS",0,0,0,48840.3447928994,22675.8743681319,22675.8743681319,22675.8743681319,22613.7486849315,"desenvolvimento e teste em escala industrial, de uma tecnologia provada em laboratorio , de pirolise ou quebra de gases de exaustao de termeletrica por meio de ceramicas susceptoras  e micro-ondas, para reducao de emissoes de gases de efeito estufa.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"145","Bndes-16203451","Bndes",2016-07-14,2022-07-14,2191,"PLANO DE NEGOCIOS COM FINALIDADE DE GARANTIR O CRESCIMENTO MINIMO ANUAL DE 15-20% NO FATURAMENTO DA EMPRESA ATRAVES DO FORTALECIMENTO DA OFERTA DE PRODUTOS.","ATIVO",10000000,7444089.45686901,NA,"REEMBOLSÁVEL","REEMBOLSÁVEL","3CON CONSULTORIA E SISTEMAS S.A.","PRIVADA","SP","SE","RECURSOS VINCULADOS - FAT DEPÓSITOS ESPECIAIS",0,0,0,43788.7615109942,20450.7952111786,20450.7952111786,20450.7952111786,20394.7656352576,"plano de negocios com finalidade de garantir o crescimento minimo anual de 15-20% no faturamento da empresa atraves do fortalecimento da oferta de produtos.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"146","Bndes-16202741","Bndes",2016-07-12,2024-01-12,2740,"SEGUNDA FASE DO DESENVOLVIMENTO DE UMA NOVA LINHA DE CAMINHÕES, NA PLANTA INDUSTRIAL LOCALIZADA EM RESENDE/RJ, E PROJETOS SOCIAIS NO ÂMBITO DA COMUNIDADE.","ATIVO",59825000,35654826.6423358,NA,"REEMBOLSÁVEL","REEMBOLSÁVEL","MAN LATIN AMERICA INDUSTRIA E COMERCIO DE VEICULOS LTDA","PRIVADA","RJ","SE","RECURSOS LIVRES - FAT / RECURSOS LIVRES - TESOURO",0,0,0,207295.50373451,97952.8204459774,97952.8204459774,97952.8204459774,97684.4565543446,"segunda fase do desenvolvimento de uma nova linha de caminhoes, na planta industrial localizada em resende/rj, e projetos sociais no ambito da comunidade.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"147","Bndes-16202741","Bndes",2016-07-12,2024-01-12,2740,"SEGUNDA FASE DO DESENVOLVIMENTO DE UMA NOVA LINHA DE CAMINHÕES, NA PLANTA INDUSTRIAL LOCALIZADA EM RESENDE/RJ, E PROJETOS SOCIAIS NO ÂMBITO DA COMUNIDADE.","ATIVO",25640000,15281065.6934307,NA,"REEMBOLSÁVEL","REEMBOLSÁVEL","MAN LATIN AMERICA INDUSTRIA E COMERCIO DE VEICULOS LTDA","PRIVADA","RJ","SE","RECURSOS LIVRES - FAT / RECURSOS LIVRES - TESOURO",0,0,0,88843.4051943643,41980.9497072271,41980.9497072271,41980.9497072271,41865.9334066593,"segunda fase do desenvolvimento de uma nova linha de caminhoes, na planta industrial localizada em resende/rj, e projetos sociais no ambito da comunidade.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"148","Bndes-16202741","Bndes",2016-07-12,2024-01-12,2740,"SEGUNDA FASE DO DESENVOLVIMENTO DE UMA NOVA LINHA DE CAMINHÕES, NA PLANTA INDUSTRIAL LOCALIZADA EM RESENDE/RJ, E PROJETOS SOCIAIS NO ÂMBITO DA COMUNIDADE.","ATIVO",135950000,81024215.3284672,NA,"REEMBOLSÁVEL","REEMBOLSÁVEL","MAN LATIN AMERICA INDUSTRIA E COMERCIO DE VEICULOS LTDA","PRIVADA","RJ","SE","RECURSOS LIVRES - FAT / RECURSOS LIVRES - TESOURO",0,0,0,471071.019351553,222593.99815513,222593.99815513,222593.99815513,221984.151584842,"segunda fase do desenvolvimento de uma nova linha de caminhoes, na planta industrial localizada em resende/rj, e projetos sociais no ambito da comunidade.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"149","Bndes-16202741","Bndes",2016-07-12,2024-01-12,2740,"SEGUNDA FASE DO DESENVOLVIMENTO DE UMA NOVA LINHA DE CAMINHÕES, NA PLANTA INDUSTRIAL LOCALIZADA EM RESENDE/RJ, E PROJETOS SOCIAIS NO ÂMBITO DA COMUNIDADE.","ATIVO",33120000,19739036.4963504,NA,"REEMBOLSÁVEL","REEMBOLSÁVEL","MAN LATIN AMERICA INDUSTRIA E COMERCIO DE VEICULOS LTDA","PRIVADA","RJ","SE","RECURSOS LIVRES - FAT / RECURSOS LIVRES - TESOURO",0,0,0,114761.84009506,54228.1222427208,54228.1222427208,54228.1222427208,54079.5520447955,"segunda fase do desenvolvimento de uma nova linha de caminhoes, na planta industrial localizada em resende/rj, e projetos sociais no ambito da comunidade.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"150","Bndes-16202731","Bndes",2016-07-11,2022-07-11,2191,"PLANO DE NEGOCIOS VISANDO A EVOLUCAO TECNOLOGICA DAS SOLUCOES OFERTADAS PELA SENIOR SISTEMAS.","LIQUIDADO",20000000,14915563.6695573,NA,"REEMBOLSÁVEL","REEMBOLSÁVEL","SENIOR SISTEMAS SA","PRIVADA","SC","S","RECURSOS LIVRES - FAT",0,0,0,86217.1310379034,40976.8232680145,40976.8232680145,40976.8232680145,40864.5579987871,"plano de negocios visando a evolucao tecnologica das solucoes ofertadas pela senior sistemas.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"151","Bndes-15208981","Bndes",2016-06-27,2016-06-27,0,"CONVERSAO DE AGUAS RESIDUARIAS EM BIOGAS E LODO EM ESTACAO DE TRATAMENTO DE ESGOTO PARA GERACAO DE ENERGIA AMBIENTAL SUSTENTAVEL.","ATIVO",3392195,3392195,NA,"NÃO REEMBOLSÁVEL","NÃO REEMBOLSÁVEL","FUNDACAO DE APOIO A SERVICOS TECNICOS, ENSINO E FOMENTO","PRIVADA","CE","NE","RECURSOS ESTATUTÁRIOS - PRÓPRIOS ESTATUTÁRIOS",0,0,0,18140.0802139037,9319.21703296703,9319.21703296703,9319.21703296703,9293.68493150685,"conversao de aguas residuarias em biogas e lodo em estacao de tratamento de esgoto para geracao de energia ambiental sustentavel.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
