"","item","fonte_de_dados","titulo","titulo2","data_assinatura","data_limite","duracao_dias","duracao_meses","duracao_anos","valor_contratado","natureza_do_agente_executor","natureza_do_financiamento","modalidade_do_financiamento","nome_do_agente_Executor","valor_liberado_2013","valor_liberado_2014","valor_liberado_2015","valor_liberado_2016","valor_liberado_2017","valor_liberado_2018","valor_liberado_2019","valor_liberado_2020","valor_liberado_2021","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"2250","Finep-09.14.0033.00","Finep","Pesquisa e Desenvolvimento de inovações em veículos","pesquisa e desenvolvimento de inovacoes em veiculos",2014-07-10,2017-07-10,1096,36.0082135523614,3,42688800,"Empresa Privada","Privado orientado por política","Reembolsável","AGRALE SOCIEDADE ANONIMA",4980360,4980360,4980360,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"2251","Finep-09.14.0033.00","Finep","Pesquisa e Desenvolvimento de inovações em veículos","pesquisa e desenvolvimento de inovacoes em veiculos",2014-07-10,2017-07-10,1096,36.0082135523614,3,42688800,"Empresa Privada","Privado orientado por política","Reembolsável","AGRALE SOCIEDADE ANONIMA",4738456.8,4738456.8,4738456.8,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2252","Finep-09.14.0033.00","Finep","Pesquisa e Desenvolvimento de inovações em veículos","pesquisa e desenvolvimento de inovacoes em veiculos",2014-07-10,2017-07-10,1096,36.0082135523614,3,42688800,"Empresa Privada","Privado orientado por política","Reembolsável","AGRALE SOCIEDADE ANONIMA",4510783.2,4510783.2,4510783.2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2253","Finep-09.14.0034.00","Finep","Plastificantes Verdes","plastificantes verdes",2014-06-18,2015-09-18,457,15.0143737166324,1,9099000,"Empresa Privada","Privado orientado por política","Reembolsável","Inbra Indústria Químicas Ltda.",4549500,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2254","Finep-09.14.0035.00","Finep","Grupo Libra - Diferencial Competitivo (TI)","grupo libra - diferencial competitivo (ti)",2014-07-14,2018-07-14,1461,48,4,62027453.83,"Empresa Privada","Privado orientado por política","Reembolsável","Libra Terminal Rio S/A",2584994.1375,2584994.1375,2584994.1375,2584994.1375,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2255","Finep-09.14.0035.00","Finep","Grupo Libra - Diferencial Competitivo (TI)","grupo libra - diferencial competitivo (ti)",2014-07-14,2018-07-14,1461,48,4,62027453.83,"Empresa Privada","Privado orientado por política","Reembolsável","Libra Terminal Rio S/A",2584994.1375,2584994.1375,2584994.1375,2584994.1375,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2256","Finep-09.14.0036.00","Finep","Innovation Center Duas Rodas","innovation center duas rodas",2014-07-10,2018-07-10,1461,48,4,61275208,"Empresa Privada","Privado orientado por política","Reembolsável","Duas Rodas Industrial Ltda",6127520.8,6127520.8,6127520.8,6127520.8,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2257","Finep-09.14.0036.00","Finep","Innovation Center Duas Rodas","innovation center duas rodas",2014-07-10,2018-07-10,1461,48,4,61275208,"Empresa Privada","Privado orientado por política","Reembolsável","Duas Rodas Industrial Ltda",3063760.4,3063760.4,3063760.4,3063760.4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2258","Finep-09.14.0036.00","Finep","Innovation Center Duas Rodas","innovation center duas rodas",2014-07-10,2018-07-10,1461,48,4,61275208,"Empresa Privada","Privado orientado por política","Reembolsável","Duas Rodas Industrial Ltda",6127520.8,6127520.8,6127520.8,6127520.8,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2259","Finep-09.14.0037.00","Finep","Chica Doida","chica doida",2014-07-16,2016-01-16,549,18.0369609856263,1,112000000,"Empresa Privada","Privado orientado por política","Reembolsável","SJC BIOENERGIA LTDA",52640000,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
