"","item","fonte_de_dados","descricao_do_projeto","descricao_do_projeto2","data_assinatura","data_limite","duracao_dias","duracao_meses","duracao_anos","valor_contratado","natureza_do_agente_executor","natureza_do_financiamento","modalidade_do_financiamento","nome_do_agente_Executor","valor_liberado_2013","valor_liberado_2014","valor_liberado_2015","valor_liberado_2016","valor_liberado_2017","valor_liberado_2018","valor_liberado_2019","valor_liberado_2020","valor_liberado_2021","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"743","Bndes-10216981","Bndes","DESENVOLVIMENTO DE NOVOS MEDICAMENTOS GENERICOS,INEDITOS NO MERCADO NACIONAL, NO AMBITO DO PROGRAMA BNDES PROFARMA - INOVACAO.","desenvolvimento de novos medicamentos genericos,ineditos no mercado nacional, no ambito do programa bndes profarma - inovacao.",2010-11-23,2020-11-23,3650,120,10,8600000,"PRIVADA","RECURSOS LIVRES - TESOURO","REEMBOLSÁVEL","PRATI, DONADUZZI & CIA LTDA",860000,860000,860000,860000,860000,860000,860000,860000,860000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"744","Bndes-10216981","Bndes","DESENVOLVIMENTO DE NOVOS MEDICAMENTOS GENERICOS,INEDITOS NO MERCADO NACIONAL, NO AMBITO DO PROGRAMA BNDES PROFARMA - INOVACAO.","desenvolvimento de novos medicamentos genericos,ineditos no mercado nacional, no ambito do programa bndes profarma - inovacao.",2010-11-23,2020-11-23,3650,120,10,1400000,"PRIVADA","RECURSOS LIVRES - TESOURO","REEMBOLSÁVEL","PRATI, DONADUZZI & CIA LTDA",140000,140000,140000,140000,140000,140000,140000,140000,140000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"745","Bndes-09209051","Bndes","INVESTIMENTO EM PESQUISA E DESENVOLVIMENTO, ESTUDOS E PROJE TO, INFRA-ESTRUTURA, COMERCIALIZACAO E MARKETING E   TREINA MENTO E QUALIDADE NO AMBITO DO PROGRAMA PARA O   DESENVOLVI MENTO DA INDUSTRIA NACIONAL DE SOFTWARE  E SERVICO DE TECNO LOGIA DA INFORMACAO - PROSOFT EMPRESA.","investimento em pesquisa e desenvolvimento, estudos e proje to, infra-estrutura, comercializacao e marketing e   treina mento e qualidade no ambito do programa para o   desenvolvi mento da industria nacional de software  e servico de tecno logia da informacao - prosoft empresa.",2010-11-03,2016-11-03,2190,72,6,7105000,"PRIVADA","RECURSOS LIVRES - FAT","REEMBOLSÁVEL","THOMSON REUTERS BRASIL CONTEUDO E TECNOLOGIA LTDA",1184166.66666667,1184166.66666667,1184166.66666667,1184166.66666667,1184166.66666667,1184166.66666667,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"746","Bndes-10215511","Bndes","DESENVOLVIMENTO DE NOVAS LINHAS DE PRODUTOS DE ESCRITORIO, DESTINADAS AO ATENDIMENTO DE DEMANDAS POR PRODUTOS PARA AS CLASSES B E C, PARA ARQUIVAMENTO E PARA AREAS EXTERNAS.","desenvolvimento de novas linhas de produtos de escritorio, destinadas ao atendimento de demandas por produtos para as classes b e c, para arquivamento e para areas externas.",2010-10-18,2018-10-18,2920,96,8,2000000,"PRIVADA","RECURSOS LIVRES - PRÓPRIOS / RECURSOS LIVRES - TESOURO","REEMBOLSÁVEL","AURUS INDUSTRIAL S.A.",250000,250000,250000,250000,250000,250000,250000,250000,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"747","Bndes-10215511","Bndes","DESENVOLVIMENTO DE NOVAS LINHAS DE PRODUTOS DE ESCRITORIO, DESTINADAS AO ATENDIMENTO DE DEMANDAS POR PRODUTOS PARA AS CLASSES B E C, PARA ARQUIVAMENTO E PARA AREAS EXTERNAS.","desenvolvimento de novas linhas de produtos de escritorio, destinadas ao atendimento de demandas por produtos para as classes b e c, para arquivamento e para areas externas.",2010-10-18,2018-10-18,2920,96,8,5500000,"PRIVADA","RECURSOS LIVRES - PRÓPRIOS / RECURSOS LIVRES - TESOURO","REEMBOLSÁVEL","AURUS INDUSTRIAL S.A.",687500,687500,687500,687500,687500,687500,687500,687500,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"748","Bndes-10100111","Bndes","INVESTIMENTOS EM P&D, MARKETING, TREINAMENTO E  INFRAESTRUTURA,  NO  AMBITO  DO PROGRAMA BNDES PARA O DESENVOLVIMENTO DAINDUSTRIA NACIONAL  DE  SOFTWARE E SERVICOS DE TECNOLOGIA DAINFORMACAO - BNDES PROSOFT-EMPRESA.","investimentos em p&d, marketing, treinamento e  infraestrutura,  no  ambito  do programa bndes para o desenvolvimento daindustria nacional  de  software e servicos de tecnologia dainformacao - bndes prosoft-empresa.",2010-09-27,2015-09-27,1825,60,5,1000000,"PRIVADA","RECURSOS LIVRES - FAT","REEMBOLSÁVEL","CST COMERCIO E SERVICOS DE INFORMATICA LTDA",200000,200000,200000,200000,200000,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"749","Bndes-10209451","Bndes","REESTILIZACAO DOS VEICULOS DA FAMILIA FOX, INCLUINDO OS MODELOS CROSSFOX E SPACEFOX.","reestilizacao dos veiculos da familia fox, incluindo os modelos crossfox e spacefox.",2010-09-16,2016-03-16,2007.5,66,5.5,47520000,"PRIVADA","RECURSOS LIVRES - FAT","REEMBOLSÁVEL","VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES",8640000,8640000,8640000,8640000,8640000,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"750","Bndes-10209461","Bndes","DESENVOLVIMENTO DE NOVOS PRODUTOS, MATERIAIS E REVESTIMENTOS, EM UM PORTFOLIO DE MAIS DE 50 PROJETOS NAS AREAS DE ANEIS DE PISTAO, FILTROS DE AR E OLEO, E BRONZINAS E BUCHAS, PARA A INDUSTRIA DE COMPONENTES AUTOMOTIVOS.","desenvolvimento de novos produtos, materiais e revestimentos, em um portfolio de mais de 50 projetos nas areas de aneis de pistao, filtros de ar e oleo, e bronzinas e buchas, para a industria de componentes automotivos.",2010-09-16,2016-09-16,2190,72,6,20185131,"PRIVADA","RECURSOS LIVRES - FAT","REEMBOLSÁVEL","MAHLE METAL LEVE S.A.",3364188.5,3364188.5,3364188.5,3364188.5,3364188.5,3364188.5,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"751","Bndes-10203481","Bndes","INVESTIMENTOS EM PESQUISA E DESENVOLVIMENTO, MARKETING E COMERCIALIZACAO, BEM COMO EM TREINAMENTO, NO AMBITO DO PROGRAMA BNDES PARA O DESENVOLVIMENTO DA INDUSTRIA DE SOFTWARE E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO - BNDES PROSOFT-EMPRESA.","investimentos em pesquisa e desenvolvimento, marketing e comercializacao, bem como em treinamento, no ambito do programa bndes para o desenvolvimento da industria de software e serviços de tecnologia da informação - bndes prosoft-empresa.",2010-08-02,2017-02-02,2372.5,78,6.5,5070000,"PRIVADA","RECURSOS LIVRES - FAT","REEMBOLSÁVEL","SUNTECH S/A",780000,780000,780000,780000,780000,780000,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"752","Bndes-10205361","Bndes","DESENVOLVIMENTO DE FAMILIA DE TURBINAS FLEX (GAS/ETANOL), COMPATIVEL COM O USO DE BIOCOMBUSTIVEIS E APLICAVEL EM TURBOGERADORES ELETRICOS QUE SE TORNEM COMPETITIVOS NO MERCADO MUNDIAL.","desenvolvimento de familia de turbinas flex (gas/etanol), compativel com o uso de biocombustiveis e aplicavel em turbogeradores eletricos que se tornem competitivos no mercado mundial.",2010-07-21,2020-07-21,3650,120,10,37070000,"PRIVADA","RECURSOS LIVRES - TESOURO","REEMBOLSÁVEL","VALE SOLUCOES EM ENERGIA S.A - VSE",3707000,3707000,3707000,3707000,3707000,3707000,3707000,3707000,3707000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
