"","X","id","fonte_de_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_agente_financiador","modalidade_financiamento","nome_agente_executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","natureza_financiamento","p.d_ou_demonstracao","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2020","motor","categorias","cat2","existe"
"11",11,"ANEEL-PD-00047-0031","ANEEL","2010-01-27","2013-01-26",1095,"Instalações subterrâneas: protótipos de transformador blindado submersível de 750 ou de1000 kVA, de câmaras de transformação e de sistemas de monitoramento de cabos isolados e de dutos.","CANCELADO",3986792,91022.6484018265,"COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,91022.6484018265,0,0,0,0,0,"instalacoes subterraneas: prototipos de transformador blindado submersivel de 750 ou de1000 kva, de camaras de transformacao e de sistemas de monitoramento de cabos isolados e de dutos. distribuicao outros","""2.1"", ""6.2""",NA,"não"
"12",12,"ANEEL-PD-00047-0034","ANEEL","2010-01-27","2013-01-26",1095,"Sistema de aferição de transformadores de instrumento utilizando TPs e TCs ópticos sem interrupção de fornecimento.","EM ATRASO",887622,20265.3424657534,"COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA","Empresa Privada","Não se Aplica","COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA","Empresa Privada","BA","NE","Publicamente Orientado",NA,20265.3424657534,0,0,0,0,0,"sistema de afericao de transformadores de instrumento utilizando tps e tcs opticos sem interrupcao de fornecimento. distribuicao medicao, faturamento e combate a perdas comerciais","nenhuma categoria encontrada",6.2,"sim"
"13",13,"ANEEL-PD-05697-7908","ANEEL","2010-02-08","2013-02-07",1095,"Aplicação de técnicas de Inteligência Artificial baseada no histórico de transformadores de potência e na análise de gases dissolvidos para diagnóstico de falhas incipientes","CANCELADO",689820,23308.9863013699,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,23308.9863013699,0,0,0,0,0,"aplicacao de tecnicas de inteligencia artificial baseada no historico de transformadores de potencia e na analise de gases dissolvidos para diagnostico de falhas incipientes distribuicao supervisao, controle e protecao de sistemas de energia eletrica","6.2",NA,"não"
"14",14,"ANEEL-PD-05697-8008","ANEEL","2010-02-08","2013-02-07",1095,"Desenvolvimento de um analisador portátil de gás dissolvido em óleo para diagnóstico remoto de falhas em múltiplos transformadores de potência","CANCELADO",791920,26758.9406392694,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,26758.9406392694,0,0,0,0,0,"desenvolvimento de um analisador portatil de gas dissolvido em oleo para diagnostico remoto de falhas em multiplos transformadores de potencia distribuicao supervisao, controle e protecao de sistemas de energia eletrica","""2.1"", ""6.2""",6.2,"sim"
"15",15,"ANEEL-PD-05697-8108","ANEEL","2010-02-08","2013-02-07",1095,"Desenvolvimento de um Sistema de Medição de Temperatura em Emendas de Cabos de Alta Tensão Utilizando Transdutores RFID-SAW","CANCELADO",812720,27461.7716894977,"CELESC DISTRIBUIÇÃO S.A","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,27461.7716894977,0,0,0,0,0,"desenvolvimento de um sistema de medicao de temperatura em emendas de cabos de alta tensao utilizando transdutores rfid-saw distribuicao supervisao, controle e protecao de sistemas de energia eletrica","""3.1"", ""6.2""",NA,"não"
"16",16,"ANEEL-PD-00383-9010","ANEEL","2010-02-11","2014-02-11",1461,"Desenvolvimento de um Transformador Eletrônico para Sistemas Elétricos em Média Tensão-TRED","CANCELADO",1957460,542622.381930185,"AMPLA ENERGIA E SERVIÇOS S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,487690.239561944,54932.1423682409,0,0,0,0,"desenvolvimento de um transformador eletronico para sistemas eletricos em media tensao-tred distribuicao qualidade e confiabilidade dos servicos de energia eletrica","6.2",NA,"não"
"17",17,"ANEEL-PD-00043-0409","ANEEL","2010-02-26","2013-04-27",1156,"Pesquisa de Técnicas Alternativas para Proteção de Sistemas Elétricos de Potência Contra Surtos Eletromagnéticos","CANCELADO",1149217.16,115319.36899654,"COMPANHIA ENERGÉTICA DE PERNAMBUCO","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,115319.36899654,0,0,0,0,0,"pesquisa de tecnicas alternativas para protecao de sistemas eletricos de potencia contra surtos eletromagneticos distribuicao supervisao, controle e protecao de sistemas de energia eletrica","6.2",NA,"não"
"18",18,"ANEEL-PD-00039-0016","ANEEL","2010-02-28","2016-03-11",2203,"Projeto de Pesquisa e Desenvolvimento para Implantação de um Piloto de Redes Inteligentes (SmartGrid) para Automação do Sistema Elétrico","CONCLUÍDO",1662613.98,876966.611330005,"COMPANHIA ENERGÉTICA DO CEARÁ","Empresa Privada","Não se Aplica","COMPANHIA ENERGETICA DO CEARA","Empresa Privada","CE","NE","Publicamente Orientado",NA,274712.432464821,274712.432464821,274712.432464821,52829.3139355424,0,0,"projeto de pesquisa e desenvolvimento para implantacao de um piloto de redes inteligentes (smartgrid) para automacao do sistema eletrico distribuicao supervisao, controle e protecao de sistemas de energia eletrica","6.2",6.2,"sim"
"19",19,"ANEEL-PD-00043-0509","ANEEL","2010-03-05","2013-03-04",1095,"Construção e Aplicação de Supressor Magnético de Afundamentos para Cargas Sensíveis Industrial - SMASI","CANCELADO",3133559.64,177425.294684932,"COMPANHIA ENERGÉTICA DE PERNAMBUCO","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,177425.294684932,0,0,0,0,0,"construcao e aplicacao de supressor magnetico de afundamentos para cargas sensiveis industrial - smasi distribuicao qualidade e confiabilidade dos servicos de energia eletrica","nenhuma categoria encontrada",6.2,"sim"
"20",20,"ANEEL-PD-00068-0005","ANEEL","2010-03-09","2013-09-02",1273,"Desenvolvimento de Sistema Especialista de Diagnóstico baseado em Monitoramento on-line de ruídos em transformadores de Transmissão para identificação de defeitos elétricos internos","CONCLUÍDO",1066403.2,204400.927572663,"COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA","Empresa Privada","Não se Aplica","COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA","Empresa Privada","SP","SE","Publicamente Orientado",NA,204400.927572663,0,0,0,0,0,"desenvolvimento de sistema especialista de diagnostico baseado em monitoramento on-line de ruidos em transformadores de transmissao para identificacao de defeitos eletricos internos transmissao supervisao, controle e protecao de sistemas de energia eletrica","6.2",6.2,"sim"
