"","id","titulo_projeto","categorias","cat2","existe"
"38","ANEEL-PD-00372-0012","Representação da Ação Antrópica sobre o Meio Ambiente na Ilhas e Entorno do Reservatório da Barragem da UHE de Tucuruí, com a Utilização da Lógica Fuzzy e Redes Neurais Artificiais","""2.1"", ""3.6""",6.1,"sim"
"39","ANEEL-PD-05379-0001","Sistema Híbrido de Detecção e Localização de Faltas Permanentes em Sistemas de Distribuição Urbanos e Rurais: Desenvolvimento Metodológico, Implementação e Projeto Piloto","6.2",6.2,"sim"
"40","ANEEL-PD-00394-0926","Unidades Experimentais para Fins de Implantação de Mata Ciliar no Bioma Cerrado","nenhuma categoria encontrada",6.1,"sim"
"41","ANEEL-PD-00372-0013","Sistema de auxílio na identificação de causas de ocorrências no sistema elétrico pelo processamento de múltiplas fontes de dados","6.2",6.2,"sim"
"42","ANEEL-PD-00087-0087","UMC - Unidade de Monitoramento de Consumo","1.4",1.4,"sim"
"43","ANEEL-PD-06491-0023","Desenvolvimento de ligas resistentes à cavitação e novos procedimentos de reparo de trincas e cavitação em rotores de aço ASTM A743 CA6NM, para deposição por soldagem a plasma, MIG e aspersão térmica","3.1",6.1,"sim"
"44","ANEEL-PD-00068-0007","Procedimento para Avaliação de Vida Remanescente de Cabos de Extra-Alta Tensão com Isolação a Óleo Fluido","""2.1"", ""3.1"", ""6.2""",6.2,"sim"
"45","ANEEL-PD-00383-0039","Expansor de isolação para proteção dos condutores de rede compacta para mitigação da necessidade de podas de árvores.","6.2",6.2,"sim"
"46","ANEEL-PD-04950-0326","PA - Desenvolvimento de Modelos Explicativos e Verificação de Associação entre Inadimplência e Perda Não Técnica","nenhuma categoria encontrada",6.2,"sim"
"47","ANEEL-PD-00391-0007","Desenvolvimento de Novas Tecnologias Voltadas a Redes Inteligentes para enfrentar os novos Desafios Climáticos","6.2",6.2,"sim"
"48","ANEEL-PD-00372-0020","Avaliação On-line da Capacitância e Erros de Relação de Transformadores de Potencial Capacitivos","6.2",6.2,"sim"
"49","ANEEL-PD-02607-0004","Desenvolvimento de um simulador de operação em tempo real do sistema elétrico para capacitação, aperfeiçoamento e treinamento das equipes de operação.","nenhuma categoria encontrada",6.2,"sim"
"50","ANEEL-PD-00048-0026","Otimização da Distribuição de Reserva Técnica de Transformadores para Instrumentos em Sistemas de Transmissão","6.2",6.2,"sim"
"51","ANEEL-PD-00048-0067","Sistema de informações baseado em geoprocessamento e mineração de dados para detecção de queimadas próximas a linhas de transmissão e identificação em tempo real de raios em desarmes de linhas","6.2",6.2,"sim"
"52","ANEEL-PD-00048-0028","Sistema Preditivo Automático de Gestão de Falhas em Transformadores de Potência Baseado em Registros Oscilográficos e Mineração de Dados","6.2",6.2,"sim"
"53","ANEEL-PD-00048-0074","Estudo de células fotovoltaicas de multijunção com concentrador para geração de energia elétrica","nenhuma categoria encontrada",NA,"não"
"54","ANEEL-PD-00048-0087","Sistema de Previsão de Ventos e Geração Eólica em Sítios do NE","""3.2"", ""3.3""",3.2,"sim"
"55","ANEEL-PD-00048-0020","Sistema remoto de análise do estado operacional de equipamentos de alta tensão atravé do monitoremento do óleo isolante","""2.1"", ""3.1"", ""7.1""",6.2,"sim"
"56","ANEEL-PD-00048-0053","DIAGNÓSTICO DA DEGRADAÇÃO DE EQUIPAMENTOS DE ALTA TENSÃO POR APLICAÇÃO DE TÉCNICAS DE RECONHECIMENTO DE PADRÕES DE DESCARGAS PARCIAIS","""3.1"", ""6.2""",6.2,"sim"
"57","ANEEL-PD-04951-0346","PA - Desenvolvimento de novas metodologias para avaliação da distribuição espaço-temporal de cianobactérias e cianotoxinas em reservatórios, e os seus efeitos deletérios em peixes.","6.2",6.1,"sim"
"58","ANEEL-PD-00044-0012","APLICAÇÃO DE TÉCNICAS DE INTELIGENCIA ARTIFICIAL PARA ESTIMAÇÃO DE ESTADO DOS SISTEMAS ELETRICOS DE POTENCIA EM TEMPO REAL DE OPERAÇÃO","nenhuma categoria encontrada",6.2,"sim"
"59","ANEEL-PD-04951-0354","DE -  Desenvolvimento de Protótipo de Sistema de Medição Fasorial Sincronizada","6.2",6.2,"sim"
"60","ANEEL-PD-00383-0041","Sistema para diagnosticar as condições operacionais dos Pára-raios a Óxido Metálico sem Centelhadores em Linhas e Subestações de Alta Tensão, através de inspeções em campo com o sistema energizado.","""3.1"", ""6.2""",6.2,"sim"
"61","ANEEL-PD-04951-0358","PA - Tecnologias integradas de transporte dos gases da carbonização da madeira de eucalipto e beneficiamento de subprodutos para co-geração de energia elétrica com micro-turbinas","2.1",3.7,"sim"
"62","ANEEL-PD-04950-0423","D423 - DE - Desenv. de Modelo Funcional Smart Grid  através de integra. sistêmicas de soluções intelig. para automação da rede de distribuição, infraestr. avançada de medição e particip. do consumidor","6.2",6.2,"sim"
"63","ANEEL-PD-04950-0424","D424 - DE - Desenv. de uma Plataforma de Testes de Conformidade e Interoperabilidade de Dispositivos Smart Metering e Desenv. de uma Solução Segura de Comunic Híbrida WMAN-WiMAX para Automação de Rede","6.2",6.2,"sim"
"64","ANEEL-PD-04951-0343","PA - CONTROLE DO MEXILHÃO DOURADO:BIOENGENHARIA E NOVOS MATERIAIS PARA APLICAÇÕES EM ECOSSISTEMAS E  USINAS HIDRELÉTRICAS","nenhuma categoria encontrada",3.6,"sim"
"65","ANEEL-PD-04950-0317","PA - D317 - Sistemas de distribuição de energia elétrica auto-reconfiguráveis: contingenciamento e otimização","nenhuma categoria encontrada",6.2,"sim"
"66","ANEEL-PD-04950-0310","D310 - PA - Desenvolvimento de Metodologia para Identificação de Vãos Críticos em Linhas de Distribuição","nenhuma categoria encontrada",6.2,"sim"
"67","ANEEL-PD-00044-0014","Determinação do Estado Físico de Conservação de Isoladores através da Técnica de Rádio Frequência","6.2",6.2,"sim"
"68","ANEEL-PD-00369-0002","Metodologia  para representação e análise de redes de transmissão, subtransmissão e distribuição","6.2",NA,"não"
